timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775165402.0552971,19428,-6664,5560,-2628,-2497,9018,-17000,3264,-17008,-4978,5561,7420
1775165402.0835001,18896,-6220,4752,-2970,-656,10807,-14028,2932,-15004,-6385,4227,9134
1775165402.1143749,18080,-6380,4580,-3176,-265,11606,-12808,3200,-13968,-6915,4087,9831
1775165402.116948,16948,-6588,4448,-3612,-649,12441,-12496,3528,-13136,-7300,4728,10528
1775165402.147181,15692,-7536,4024,-4491,-581,13225,-12264,4436,-12060,-7435,4935,11729
1775165402.20436,13608,-7356,3724,-6104,1664,13725,-10892,4436,-10008,-7141,3174,13902
1775165402.206053,12320,-8248,3072,-6861,3064,13413,-6360,5408,-9212,-6537,1929,14679
1775165402.2060642,12008,-9140,2724,-6546,4396,12020,-5048,6340,-9360,-5760,248,14001
1775165402.235988,10932,-9504,2564,-6335,4996,10952,-4836,6932,-8732,-5108,-561,13396
1775165402.2641358,7428,-11064,2760,-6459,6127,9465,-3056,9316,-5640,-3930,-2307,13079
1775165402.323684,8280,-10860,3776,-6736,12176,6313,-2896,9512,-4864,-1694,-8205,13115
1775165402.328924,10792,-11120,3524,-6266,15233,3208,-3692,9840,-6444,126,-12091,11909
1775165402.329288,9140,-12100,2820,-6152,4209,2410,-3720,10248,-8288,1778,-1628,8429
1775165402.38385,9048,-12420,3320,-5796,4017,1747,-4288,10640,-8504,2131,-1845,7733
1775165402.386477,9200,-12544,3544,-5615,9537,1089,-5040,11000,-8388,1910,-7459,8762
1775165402.3866591,10592,-12412,2100,-5803,10709,-146,-4044,10532,-9068,2941,-8611,8529
1775165402.41569,13156,-11080,1928,-5060,10883,-1960,-3364,9196,-9388,3929,-10096,7100
1775165402.44328,10016,-13064,2760,-2984,5619,-2359,-1788,10620,-12180,3535,-4529,3549
1775165402.473197,9336,-12640,2616,28,9541,-2859,-1908,10488,-11704,1732,-9443,2056
1775165402.5034869,11776,-12012,3176,2374,15726,-4196,-3112,10036,-11324,855,-15926,1036
1775165402.505318,13692,-13212,5316,4475,15335,-4873,-7080,11136,-12128,187,-15905,-1157
1775165402.53359,18144,-13724,6348,5770,12467,-4958,-12036,11056,-15556,-169,-13488,-2999
1775165402.563406,17812,-12380,4728,5270,4148,-1335,-16440,9096,-17688,-1941,-4298,-2824
1775165402.593343,16644,-13148,6272,2907,1023,4097,-19572,10012,-17864,-4654,206,1315
1775165402.595273,14872,-12724,6436,-378,1864,10017,-19264,9852,-14788,-7551,1217,7404
1775165402.62332,12744,-13028,6288,-2754,6247,13461,-13052,10236,-12156,-9359,-1788,12290
1775165402.655338,10432,-13032,5004,-3498,8735,14804,-7848,10332,-9980,-10249,-3775,14288
