timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775936001.5221398,-16472,-6100,-1184,1239,1655,-62,13416,8192,12040,-317,-1135,478
1775936001.55315,-17688,-6024,-1680,1236,1280,-1325,15676,8604,13844,726,-1087,-369
1775936001.553233,-18160,-6240,-1992,1840,1331,-3828,17784,8888,14696,2407,-1843,-2223
1775936001.582906,-18048,-6232,-1976,3245,1315,-7116,18708,8852,14400,4248,-2782,-5113
1775936001.611062,-17192,-6240,-1888,4710,720,-9708,16640,8080,12724,5492,-3021,-7876
1775936001.640142,-16312,-6212,-1432,5380,-313,-10799,13924,7800,11820,6079,-2368,-9275
1775936001.6703172,-15160,-6780,-1184,5291,-995,-11352,12108,8188,10800,6634,-1923,-9629
1775936001.6714299,-13868,-7024,-1184,4932,56,-11818,11028,8100,9568,7168,-2978,-9350
1775936001.7000709,-13008,-7180,-1072,4641,992,-12050,10288,8060,8408,7384,-3853,-8930
1775936001.7301068,-12380,-7344,-856,4473,1197,-11704,9672,7972,7524,7118,-3889,-8529
1775936001.760294,-11700,-7896,-764,4293,1323,-10913,8792,8556,6608,6594,-3856,-7945
1775936001.7612338,-11420,-8160,-360,4157,1151,-9977,8664,8984,6444,5946,-3424,-7381
1775936001.7920089,-10948,-8356,-368,4142,860,-9467,8804,9144,6536,5568,-3032,-7186
1775936001.8212311,-10420,-8768,-276,3997,1196,-9228,8524,9504,6436,5452,-3273,-6834
1775936001.85135,-10344,-9508,-104,3851,1812,-9127,8280,10272,5872,5391,-3849,-6468
1775936001.85143,-9648,-9604,-208,3978,1937,-9016,8612,10164,5408,5223,-4006,-6515
1775936001.880487,-8992,-9692,-32,4262,2641,-9122,8136,10068,4740,5065,-4739,-6637
1775936001.910207,-7948,-9020,384,4564,1155,-8223,5788,9160,2868,4287,-3086,-6757
1775936001.94015,-5200,-4860,1268,4453,128,-5738,1200,4504,256,2384,-1729,-5548
1775936001.9702861,1456,-3832,3004,2537,-6861,2059,-15856,1780,-10308,-2518,7142,-1540
1775936001.9713302,6028,-3832,1012,-5292,-927,21792,-32768,-4296,-27036,-14914,6930,17254
1775936002.000146,3512,1472,1536,-16390,10579,32767,-32768,-20928,-25576,-32768,5747,32767
1775936002.0307178,-13096,4848,-316,-16810,-1716,32767,14048,-25380,12364,-32768,19703,32767
1775936002.061134,-31416,1628,-4904,-9540,650,32767,32767,-5252,32767,-32768,13525,32767
1775936002.0616,-32768,-3900,-6068,-4883,9580,12860,32767,17512,32767,-7172,-4689,13784
1775936002.092312,-32768,-5624,-3996,1203,-1848,-13880,32767,11708,32767,11366,-382,-8538
1775936002.121163,-20612,-6208,-5560,5354,-5559,-14003,14472,5164,3348,8911,1860,-12480
1775936002.150315,-10392,-7172,-2340,3921,-3333,-5215,272,6264,-1240,2512,1979,-5690
1775936002.1513312,-8328,-4872,-1316,1355,-3168,-261,4652,5360,3948,172,3297,-924
1775936002.18007,-9840,-2528,-2904,1079,-598,-548,11228,3276,6420,399,809,-284
1775936002.21015,-11384,-1536,-1516,925,1478,163,5908,2176,5976,-397,-877,840
1775936002.240233,-12884,-1444,-844,-882,2008,3465,5724,2616,7964,-2008,-354,4322
1775936002.241327,-15136,-2260,-708,-1371,940,4453,12924,4548,12516,-2344,1001,4821
1775936002.27028,-16476,-2932,-1264,-875,1863,2184,15168,5464,14236,-868,-569,3411
1775936002.3011048,-17804,-3504,-1344,-502,371,637,15116,6044,14088,274,567,1873
1775936002.3302999,-17148,-3624,-1884,538,-755,-416,16328,5696,12016,612,1234,120
1775936002.36025,-15580,-3516,-2124,1674,-781,-1340,13636,5360,11040,683,828,-1281
1775936002.3612611,-14928,-3272,-2000,1294,-765,-983,10884,4716,9756,598,978,-744
1775936002.392001,-14776,-2956,-2584,968,-1050,-177,12560,4340,9804,195,1436,-86
1775936002.420647,-14752,-2784,-2448,1345,-135,-568,13356,4408,10072,186,416,-411
1775936002.45139,-14572,-2884,-2052,1303,397,-582,11176,4392,9820,143,-87,-237
1775936002.4515378,-14628,-3160,-2016,1111,353,-7,12416,4644,9520,-188,107,250
1775936002.4801931,-14876,-3268,-1984,1800,495,-253,13652,4772,10172,-406,-189,-402
1775936002.510197,-15016,-2908,-1740,2215,738,-586,12132,4748,10656,-400,-587,-870
1775936002.5403352,-15384,-2660,-1496,2022,522,-311,11528,4488,10772,-505,-248,-587
1775936002.5413399,-15172,-2696,-1272,1784,56,-98,11604,4752,11576,-439,256,-438
1775936002.5701141,-15148,-2792,-1156,1600,76,-519,11896,4876,11852,-3,182,-513
1775936002.600331,-14908,-2912,-1104,1369,3,-629,11308,4796,10828,203,314,-394
1775936002.63032,-14588,-3048,-1500,1180,0,-364,11328,4788,10168,101,340,-68
1775936002.6312408,-14680,-2940,-1560,1034,350,-204,11780,4648,10532,15,52,189
1775936002.6601322,-15256,-3072,-1360,1130,222,-387,12444,4912,11188,144,188,-25
1775936002.691543,-15240,-3052,-1776,1112,156,-529,12240,4920,10612,248,210,-78
1775936002.721588,-14764,-3032,-1644,1306,-312,-264,11908,4860,10004,-15,674,-259
1775936002.721664,-14744,-3008,-1192,1387,-226,-133,11312,4872,10892,-194,631,-195
1775936002.751178,-14936,-2800,-1668,1046,-184,-202,11968,4800,11104,82,569,70
