timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775936281.721047,-14288,-2472,3644,3117,-4132,7609,7708,5000,11228,-7073,5852,1462
1775936281.722081,-14584,-2204,3752,4159,-5258,8897,7260,4576,11808,-8624,6949,1063
1775936281.7241,-14972,-2188,4128,4798,-6064,9515,7744,5032,13940,-9354,7747,642
1775936281.75198,-15780,-1988,4340,5292,-8111,9111,8748,5244,15920,-9118,9514,-531
1775936281.781,-16684,-2052,3984,5494,-6890,7339,9616,5808,17200,-7919,7723,-1314
1775936281.8111439,-18548,-1820,4268,5789,-4358,4865,11960,6092,19496,-6307,4751,-2199
1775936281.812178,-22064,-2388,4852,6807,-6660,1780,15984,7556,23572,-4143,6112,-5365
1775936281.8410082,-25408,-1536,5432,8573,-12502,-4274,21732,8044,30608,242,10405,-11871
1775936281.8729951,-28156,-2004,6648,10040,-15089,-14581,23584,9144,32767,7917,10109,-19194
1775936281.9022772,-29112,-1932,8140,10363,-18023,-26277,23208,7480,32767,17598,10064,-26640
1775936281.932627,-28396,-1908,9084,9883,-18215,-32768,20820,4404,32767,27352,7705,-32597
1775936281.932649,-27944,556,9456,8079,-12381,-32768,17944,-1964,32767,32767,-642,-32768
1775936281.96114,-22716,4992,9860,3989,-20807,-32768,9828,-12904,32767,32767,6389,-32768
1775936281.991164,-13368,3368,10576,-1026,-19901,-32768,-2456,-15640,22552,32767,5812,-32768
1775936282.051261,-3628,156,10068,-4815,-16975,-32768,-10568,-14508,4520,32767,4348,-31680
1775936282.052226,3592,-1164,10208,-5912,-11635,-32768,-17316,-11256,-9480,32767,1858,-23987
1775936282.053364,8316,-3080,9092,-6556,-9574,-32768,-22076,-5364,-16128,32767,2730,-15655
1775936282.081147,10940,-4188,8584,-8230,-4554,-23634,-22848,-1224,-16844,24532,1121,-6019
1775936282.111281,9664,-5736,8672,-9849,1218,-12927,-20216,2348,-14420,16301,-1678,2581
1775936282.112298,7248,-6592,9276,-10372,3887,-4836,-14664,4564,-10588,9850,-2301,8014
1775936282.141026,4304,-8256,9008,-9447,3424,261,-8204,7600,-4680,5390,-807,9771
1775936282.172959,2484,-10068,8896,-7787,138,1955,-3876,10188,-1428,3486,2504,8377
1775936282.202581,2040,-11716,7488,-5886,-163,2143,-2776,11712,-2540,2250,2444,6896
1775936282.232343,1444,-13284,7644,-3636,833,3451,-2416,12984,-4524,-326,1279,6042
1775936282.232416,1124,-14000,7724,-685,592,4835,-1024,13836,-3604,-3112,1307,4335
1775936282.261018,52,-14368,7376,2116,-1496,5557,-260,14652,-1848,-5107,3031,1877
1775936282.290967,-700,-14780,7156,3886,-2286,5649,-1116,15304,-576,-6114,3340,301
1775936282.321165,-1320,-14896,7240,4590,-661,5459,-1468,15768,1336,-6508,1608,119
1775936282.32222,-1672,-14676,8356,4843,136,4787,-1784,16008,2272,-6188,762,-260
1775936282.350976,-1904,-14464,9040,5206,-868,4734,-2996,15716,2632,-6282,1639,-831
1775936282.382122,-1936,-14436,9552,5070,-1251,4754,-3912,15972,3632,-6145,2033,-780
1775936282.4111109,-2088,-13872,9792,4492,-681,4506,-4460,15572,3956,-5685,1492,-331
1775936282.412388,-2460,-13616,10112,3784,-269,4655,-4916,15440,4320,-5427,1267,457
1775936282.441067,-2632,-13400,10212,2863,229,4560,-4680,15480,4992,-4866,1011,1317
1775936282.473218,-2804,-13312,10276,2150,176,4429,-4184,15284,5160,-4334,1110,1778
1775936282.5022879,-2608,-13328,10012,1681,690,4150,-3992,15208,4524,-3864,608,2167
1775936282.5023549,-2476,-13168,9660,1349,1361,4474,-4436,14796,3256,-4001,97,2803
1775936282.532175,-2584,-12892,9600,1122,1936,5414,-4292,14332,3152,-4686,-146,3614
1775936282.561003,-2912,-13036,9592,980,2328,6252,-3536,14672,3668,-5319,-303,4272
