timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775936234.381034,-10164,4604,-18240,32767,-516,32767,30776,-22776,3156,-32768,-1310,-23453
1775936234.3820632,-25232,8444,-2096,32767,4741,25323,9192,-11096,32767,-32768,-8109,-22162
1775936234.4108002,-32768,11068,15456,26480,2088,12682,-7244,2856,32767,-25454,-3760,-12509
1775936234.440806,-32768,12500,23728,-1367,-1999,-823,-12116,7456,32767,2855,2797,1553
1775936234.4710631,-32392,10208,20460,-22728,-12722,-12728,-5672,2260,32767,25956,14566,9227
1775936234.4721081,-20340,6172,6752,-32768,-18435,-18412,1976,-6096,32767,32767,21132,14989
1775936234.500919,-5044,-156,-12700,-32768,-14593,-16635,15784,-11836,-8408,32767,18394,19929
1775936234.531223,6040,-11712,-30888,-28218,-978,-11603,32767,-6052,-32768,26348,4247,16925
1775936234.562947,9432,-16552,-32768,-5394,5393,-3329,32767,-2004,-32768,5222,-4236,4789
1775936234.592323,8040,-13932,-32768,19028,3715,8414,32767,-5080,-32768,-17979,-4488,-9084
1775936234.5924008,-1756,-4184,-27272,32767,9246,15672,32767,-11376,-26572,-32768,-11669,-17098
1775936234.651065,-18880,4396,-8876,32767,10230,17221,17116,-9256,21812,-32768,-12794,-18370
1775936234.652139,-32768,10640,10068,25152,4655,10099,-2056,1208,32767,-23356,-7052,-12286
1775936234.6809971,-32768,12716,20956,-680,-493,-3613,-14040,6712,32767,4367,353,-192
1775936234.682894,-31544,11512,20232,-25131,-7835,-15830,-9776,268,32767,29394,9498,10839
1775936234.710836,-17032,6588,5356,-32768,-14316,-20221,-480,-9304,30888,32767,17483,18461
1775936234.771258,-1652,-1632,-14236,-32768,-6053,-19022,20740,-13192,-18596,32767,9902,21086
1775936234.772137,6608,-11448,-31668,-23194,-325,-8937,32767,-7200,-32768,20595,3483,14621
1775936234.773173,10340,-15172,-32768,170,-2503,4838,32767,-3468,-32768,-3658,4106,2466
1775936234.80136,6776,-13272,-32768,24204,1202,13614,32767,-5736,-32768,-24636,-2039,-11231
1775936234.831358,-4328,-3172,-26904,32767,9032,17609,32767,-13332,-21812,-32768,-11906,-20077
1775936234.8624299,-19424,6008,-9392,32767,13241,17904,20352,-12776,21788,-32768,-16834,-21891
1775936234.862499,-32768,10236,9788,31392,7836,11048,-2676,-204,32767,-28073,-10691,-15909
1775936234.8921988,-32768,13504,23060,3863,754,-1957,-17864,6404,32767,192,-1148,-2627
1775936234.951149,-29628,11104,21572,-21500,-7798,-12189,-13532,1052,32767,24541,9739,10018
1775936234.952159,-15084,3900,5952,-32768,-10365,-16233,-124,-4752,26588,32767,13453,17615
1775936234.9540071,-340,-5292,-16028,-32768,-4547,-15971,20368,-7040,-15896,32767,8382,19254
1775936234.982122,6700,-12548,-32768,-20007,2651,-9812,32767,-5200,-32768,19139,-186,12363
1775936235.010947,8108,-14920,-32768,4312,3198,3252,32767,-4572,-32768,-5211,-2289,-197
1775936235.0409641,1908,-9784,-32768,27744,2031,15030,32767,-7980,-32768,-27864,-2999,-13103
1775936235.071121,-12196,-196,-18728,32767,6110,18849,27936,-10764,-2380,-32768,-8847,-19168
1775936235.0721338,-27168,7540,3232,32767,3940,15171,6092,-3356,32767,-32697,-6186,-17064
1775936235.101326,-32768,11336,19084,11241,3359,2040,-14292,6348,32767,-7835,-4528,-5605
1775936235.1318882,-29464,9696,20236,-14462,-1108,-9918,-13512,3768,32767,17771,2427,7344
1775936235.1624808,-16780,3668,7948,-26152,-5397,-13160,584,-2404,22440,27686,7890,13845
1775936235.162579,-6924,-3996,-10536,-25516,-4851,-10495,17168,-2968,-9124,24857,8121,14748
1775936235.191875,-2592,-9084,-23128,-16797,-5937,-5071,31004,-1124,-27196,15155,8711,10005
1775936235.2210171,-2224,-11596,-27884,-3540,-6452,129,32767,1388,-32348,2970,7820,1879
1775936235.251006,-5460,-9836,-25000,9570,-3080,2637,32767,1904,-22052,-7149,2388,-6308
1775936235.28107,-9472,-5884,-16772,16867,376,3304,24972,1312,-6432,-12265,-2259,-10756
1775936235.282306,-13432,-2684,-8116,17486,2645,3354,14020,1876,8152,-12858,-4447,-10556
1775936235.341092,-16276,-780,-860,13301,3180,2629,6284,3676,19008,-9767,-4315,-7337
1775936235.3419871,-17816,-480,2228,6406,504,1170,3852,5360,24096,-4134,-621,-3282
1775936235.370954,-16416,-980,1212,-254,-2494,-714,5800,5216,19916,1640,3066,289
1775936235.3719091,-12700,-3084,-3116,-3681,-1991,-1807,10840,4484,9672,4434,2907,2577
1775936235.400718,-10792,-4848,-7012,-3061,732,-1764,15508,3820,532,3682,230,2801
1775936235.4325671,-9908,-5576,-9652,-336,-1165,395,16944,3784,-2704,464,2058,1161
