timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775936184.192173,-9740,-12296,5524,2666,894,-1760,4756,14628,8300,272,-1088,-1816
1775936184.22064,-9740,-12496,5828,2751,1005,-2273,4176,14756,8280,613,-1346,-2124
1775936184.250703,-9532,-12440,5960,2784,995,-2675,3836,14788,8172,934,-1398,-2385
1775936184.280884,-9480,-12456,6240,2887,856,-3014,3872,14668,8204,1167,-1350,-2688
1775936184.2818959,-9528,-12316,6592,2940,484,-3248,3164,14776,8292,1364,-1054,-2951
1775936184.311253,-9364,-12428,6676,2760,-70,-3371,3028,14804,8536,1620,-570,-3014
1775936184.340817,-8960,-12448,6440,2655,80,-3917,3256,14716,8380,2126,-769,-3189
1775936184.400935,-8496,-12168,6536,2537,736,-4708,2724,14536,8180,2724,-1581,-3339
1775936184.401821,-8244,-12324,6776,2233,1194,-5257,1956,14428,7880,3291,-2090,-3259
1775936184.403845,-7820,-11976,6780,1982,955,-5472,1844,14104,7332,3676,-1853,-3239
1775936184.431705,-7396,-11984,7028,2003,1082,-5526,1480,13788,6656,3684,-1979,-3241
1775936184.462063,-6864,-11492,7348,2294,18,-5131,720,13344,5908,3260,-898,-3549
1775936184.462136,-6300,-10992,8108,2451,-1189,-4140,-1032,12944,5288,2481,476,-3471
1775936184.492457,-5116,-9844,9364,2226,-3724,-1929,-4716,11600,4144,1047,3466,-2795
1775936184.52178,-3048,-7076,12044,1311,-7275,2287,-11488,8920,2964,-1553,7969,-628
1775936184.550806,-480,-3216,15892,-2034,-8791,9730,-24124,4812,2160,-5631,11475,5824
1775936184.610858,3224,1908,19236,-10232,-9742,22511,-32768,-2132,2680,-11273,16682,19441
1775936184.6119502,5736,6268,19084,-26101,-5638,32767,-32768,-14256,3432,-16939,19513,32767
1775936184.613826,-744,14464,14320,-32768,-1391,32767,-32768,-32768,13532,-22392,23928,32767
1775936184.641692,-10980,16936,8156,-32768,-6634,32767,-3576,-32768,28276,-25380,31876,32767
1775936184.700917,-23132,9300,-1188,-32768,-6291,32767,31176,-26604,32767,-20361,29689,32767
1775936184.701935,-32768,4608,-8816,-32768,6135,32767,32767,-11556,32767,-4460,11347,32767
1775936184.7038798,-32768,-1468,-8464,-32768,-3661,19974,32767,-40,31564,4399,14992,32767
1775936184.73174,-32768,-2520,-9640,-19789,-17794,13666,32767,3276,21208,2675,24412,19170
1775936184.7622888,-26812,-3532,-10320,-13534,-11894,7296,32767,5292,20296,3737,15895,12558
1775936184.7623522,-22692,-2312,-7824,-9840,-7707,1937,27656,3704,14428,5461,10189,7823
1775936184.791716,-18132,-1872,-5088,-6825,-6755,1104,18332,2704,9120,4232,8455,5355
1775936184.820599,-15944,-1568,-1744,-4578,-2279,1763,13912,2936,9216,1931,3953,5087
1775936184.850788,-16160,-1560,0,-2629,158,1330,13912,3896,12616,928,1239,3934
1775936184.851813,-16020,-496,460,-1241,75,712,12192,2856,12628,654,984,2450
1775936184.8806558,-15400,-268,1008,-409,954,768,10212,2744,12288,14,-85,2078
1775936184.910794,-15372,-704,2008,273,2579,779,10112,3516,13044,-552,-1775,1963
1775936184.940806,-15696,-1088,2336,1165,2034,359,10660,4132,14116,-691,-1420,819
1775936184.941927,-16148,-800,2532,1728,1071,-301,10036,4072,14912,-334,-729,-237
1775936184.970628,-15688,-476,3096,2044,689,-863,8952,3664,14556,-70,-565,-877
1775936185.000653,-15472,-484,3620,2107,491,-833,7720,3768,14480,-106,-418,-962
1775936185.030911,-15388,-564,3700,1936,1251,-937,7524,3852,14676,15,-1097,-664
1775936185.0317729,-15520,-464,3484,1767,812,-924,7916,3736,14792,129,-623,-653
1775936185.0622551,-15276,-428,3452,1593,537,-989,7596,3708,14568,312,-346,-622
1775936185.09179,-14856,-632,3296,1377,557,-952,7572,3744,13876,431,-376,-429
1775936185.122325,-14736,-836,3452,1447,228,-730,7700,3836,13360,214,31,-439
1775936185.1223419,-14616,-832,3124,1519,111,-568,7664,3808,13592,54,154,-446
1775936185.1507,-14796,-840,3244,1536,-55,-397,7636,3776,13592,-74,373,-399
1775936185.180681,-14860,-812,3196,1501,-491,-269,7712,3816,13832,-97,770,-421
1775936185.210784,-14996,-696,3248,1368,-235,-97,7512,3704,13700,-183,573,-179
1775936185.211809,-14952,-912,3440,1318,52,80,7624,4040,13848,-342,409,37
1775936185.240712,-15192,-1124,3652,1334,-116,68,7844,4324,14332,-295,566,6
1775936185.27103,-15292,-1116,3440,1276,-507,-210,8164,4388,14660,34,886,-251
1775936185.300854,-15104,-708,3260,1287,-951,-290,7756,3716,13804,79,1297,-374
1775936185.3019588,-14940,-712,3072,1224,-583,141,7352,3704,13488,-287,998,-16
1775936185.330571,-15128,-1188,3316,1186,22,330,8100,4196,13940,-436,496,251
