timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775936156.893437,-13304,-7380,3604,-4814,920,-5636,4668,10916,17036,7853,-786,2226
1775936156.92375,-11976,-6100,4268,-9868,6594,-8365,-236,9188,16368,12429,-5867,6464
1775936156.923837,-11936,-5592,4460,-15648,7457,-7986,-2612,7228,13108,15340,-5369,11588
1775936156.953368,-10800,-4836,2716,-20158,2279,-4074,-1376,4320,7044,15246,1480,15872
1775936156.981768,-9164,-4984,-364,-22491,-557,1735,1888,2424,948,12180,5770,20151
1775936157.010803,-8408,-5480,-3512,-22398,77,7315,7448,1872,-1680,7568,6306,23246
1775936157.0416331,-8904,-5616,-5588,-20155,-618,11109,13016,1764,-1840,3199,7457,23167
1775936157.043558,-9240,-5368,-7156,-17180,-1985,13520,15056,1932,-592,-303,8732,21650
1775936157.073301,-9608,-4952,-8424,-14889,428,14311,16256,1916,512,-2476,6111,20923
1775936157.1013608,-10852,-3052,-8704,-11980,2175,14941,18224,84,-620,-4903,4179,19303
1775936157.132878,-11404,-1576,-8368,-8016,758,17423,17020,-1468,-988,-9160,5360,17051
1775936157.132895,-12424,-268,-8240,-4858,1458,19984,16616,-2588,1292,-13031,4584,16129
1775936157.162111,-14204,-1244,-9772,-2446,2647,20463,22232,-856,5848,-14860,3008,14736
1775936157.193321,-15764,-1220,-9820,1050,189,18126,25712,-92,7272,-14775,4476,9887
1775936157.2219908,-15132,-520,-9848,5162,-4160,16925,22692,-988,5136,-15733,7651,4690
1775936157.222871,-15148,-452,-9640,8845,-3552,17257,21660,-1440,3812,-18281,6339,2135
1775936157.2809348,-16028,-884,-10348,13042,-1401,17081,23728,-1108,5732,-20667,3308,-756
1775936157.2852638,-16392,-624,-9004,16898,864,16216,22788,-1540,6500,-22507,331,-3686
1775936157.311106,-16288,-448,-7944,19498,2267,15667,20244,-1428,8672,-23686,-1640,-5696
1775936157.311914,-16676,-1408,-7088,21018,3687,14970,19568,-184,9844,-24155,-3331,-6900
1775936157.3408158,-17608,-2288,-6892,22648,5578,13003,22160,1140,12484,-23645,-6075,-8786
1775936157.370781,-18816,-2408,-6904,24100,7556,8987,23640,2020,15240,-21408,-8938,-11621
1775936157.400799,-20060,-1544,-6720,25566,9015,5067,23936,1348,16784,-19285,-11556,-14503
1775936157.4308639,-21484,-972,-6192,26728,8505,798,24688,1532,19888,-16430,-12193,-17903
1775936157.432095,-22492,-564,-5188,27159,5069,-4147,23560,1568,23016,-12338,-10023,-21857
1775936157.463354,-22620,-408,-4580,26026,1378,-9255,20544,1792,24516,-7134,-7418,-24656
1775936157.491828,-23204,-200,-3744,23566,-2721,-14123,19264,2004,25584,-1378,-4051,-26392
1775936157.5509708,-22248,104,-3188,20642,-8027,-18611,17484,1160,24408,4508,574,-27931
1775936157.5520132,-20548,168,-2740,17187,-9864,-22193,13888,460,21324,9526,2056,-27476
1775936157.553797,-18792,-1432,-1204,13261,-9057,-24546,11128,1996,19728,13561,1415,-25303
1775936157.5817668,-17200,-2280,-320,9164,-11773,-26380,9424,2552,18884,17766,4532,-23722
1775936157.610809,-14936,-2472,-236,4600,-14617,-27114,6568,1824,14812,21196,7861,-21166
1775936157.6119301,-13304,-2860,-420,141,-13268,-25763,4384,1700,10616,22521,7636,-16441
1775936157.6407402,-10920,-3904,48,-3432,-13757,-22824,3436,2504,6848,22246,9389,-12116
1775936157.670732,-8956,-5360,-152,-6187,-13447,-18976,2160,3804,3532,20698,10509,-7705
1775936157.70099,-6804,-5856,-796,-8696,-11212,-14904,1512,4392,1424,18626,9621,-2904
1775936157.730743,-5624,-6192,-1012,-10666,-9050,-11247,1348,4636,236,16551,8729,1299
1775936157.731982,-5332,-6724,-2060,-12664,-7553,-7110,1992,4876,-1404,14276,8663,5510
1775936157.76263,-5148,-7364,-3000,-13893,-6336,-3072,4128,5284,-2552,11610,8580,9025
1775936157.791779,-5852,-7540,-3996,-14002,-5849,283,7404,5596,-1840,8921,8891,10999
1775936157.820738,-6760,-8524,-5128,-13408,-6098,2571,10128,6480,-1576,6750,9478,11656
1775936157.8217769,-7604,-8824,-6868,-11928,-4690,3692,14080,6892,-1328,4840,8143,11390
1775936157.8517618,-8412,-9668,-7516,-9631,-3065,3717,16156,7804,-1248,3340,6154,9958
