timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775936091.191774,-15300,-616,-1548,1539,51,-454,11548,2668,11728,-48,194,-444
1775936091.191892,-15128,-376,-1616,1210,86,-336,11188,2412,11472,32,267,-38
1775936091.220437,-15136,-640,-1628,1002,201,-167,11776,2676,11292,28,245,227
1775936091.2513301,-15088,-788,-1952,1106,175,-194,12276,2720,11128,-1,216,92
1775936091.253182,-15140,-696,-1948,1241,242,-136,11900,2588,11060,-114,161,50
1775936091.282971,-15072,-820,-1860,1239,496,-62,12128,2720,11248,-212,-35,152
1775936091.310267,-15320,-880,-2008,1377,478,-160,12680,2988,11312,-231,-104,-15
1775936091.340597,-15204,-1120,-1992,1612,189,-272,12532,2936,11152,-236,124,-367
1775936091.3415098,-15196,-900,-1940,1712,146,-259,11808,2852,11368,-312,195,-413
1775936091.370471,-14972,-1272,-1636,1431,446,-321,11680,3240,11396,-122,-122,-113
1775936091.400347,-15052,-1680,-1620,1229,442,-385,11828,3572,11376,42,-50,-33
1775936091.431846,-14868,-2104,-1452,1206,112,-395,11668,4060,10872,107,257,-98
1775936091.431867,-14384,-2900,-1396,1138,-352,-274,11072,4740,10204,93,755,-74
1775936091.4623969,-13988,-4220,-1472,983,-450,181,10976,5920,9012,-159,945,215
1775936091.491766,-14012,-6012,-1380,1210,678,252,12016,7684,8932,-506,-211,399
1775936091.5205739,-14020,-8136,-888,1635,2173,-363,12272,10000,9588,-367,-1840,128
1775936091.521618,-14120,-10232,-228,1934,2637,-1446,12292,12220,9736,271,-2573,-627
1775936091.550553,-13928,-11668,-40,2304,1500,-2542,12260,13644,9272,1072,-1770,-1806
1775936091.580907,-13276,-12740,-708,2456,-371,-3142,11556,14152,7744,1635,-94,-2749
1775936091.610704,-12560,-13172,-1228,2708,1309,-3578,12644,14152,6088,1691,-2136,-2659
1775936091.611786,-13092,-10644,-1804,4020,2479,-3702,13808,11752,6856,1126,-1281,-4179
1775936091.73191,-13840,-6080,-3216,4366,3029,-2866,10080,6648,5560,-122,-3708,-3126
1775936091.732069,-14616,592,-3744,4671,1727,482,11844,-252,5620,-2907,-1795,-1949
1775936091.761871,-17504,8464,-5128,5958,7657,2591,16568,-7660,11124,-5898,-7404,-196
1775936091.761892,-22624,13888,-4420,7774,10883,2382,19536,-10840,20348,-7156,-10732,-993
1775936091.791769,-22636,12720,-3956,6964,4771,464,16784,-8168,25740,-4357,-4893,-3067
1775936091.791784,-18988,11144,-4780,3503,-1194,-1907,12536,-7716,20892,170,870,-3148
1775936091.792722,-16172,9392,-4816,620,387,-2368,11000,-7352,14072,2025,-299,-577
1775936091.8206441,-14508,5912,-4164,-842,-401,-1459,11200,-4096,11408,2219,704,936
1775936091.821568,-12280,1884,-4872,-1952,-577,-1019,11028,-996,8156,2511,1321,1958
1775936091.8504372,-11728,408,-5076,-1847,-1450,103,12656,-148,4952,1635,2453,2209
1775936091.8802161,-11480,-432,-5460,-702,234,907,13572,452,4472,138,726,2166
1775936091.9105659,-12696,-712,-4724,652,987,1601,13848,1176,5952,-1285,-66,1650
1775936091.911679,-13640,-876,-3960,1542,455,1901,13404,1952,8788,-2011,388,950
1775936091.9403641,-14636,-684,-3496,1533,264,1575,13140,2428,11140,-1682,482,735
1775936091.97038,-15184,-780,-3164,1227,-182,985,13328,2540,10988,-966,842,584
1775936092.000603,-15340,-1184,-2864,1392,-231,948,13244,2892,10536,-1046,843,376
1775936092.0016918,-15988,-1484,-2772,1506,262,779,13480,3400,11720,-998,286,331
1775936092.0318332,-16128,-1436,-3028,1154,-75,264,13732,3452,12508,-367,593,238
1775936092.061994,-15952,-1320,-3036,821,-371,-238,13692,3108,11580,265,851,138
1775936092.0914528,-15472,-1212,-3304,732,-283,-455,13460,3004,10868,480,714,144
1775936092.1206179,-14872,-1548,-3568,593,21,-557,12980,3020,10008,581,422,261
1775936092.121563,-14572,-1124,-3684,550,76,-447,13140,2568,9468,513,386,391
1775936092.180485,-14696,-1064,-3716,712,248,-345,13368,2448,9540,327,255,335
1775936092.181878,-14440,-984,-3584,868,132,-263,12952,2420,9556,171,334,237
1775936092.1830132,-14540,-1188,-3448,844,194,-83,12840,2476,9608,39,325,381
1775936092.210449,-14636,-1012,-3344,942,-321,143,13456,2524,9764,-125,823,290
1775936092.240372,-14740,-1212,-3236,1350,-158,-80,13620,2804,10008,-214,538,-122
1775936092.270553,-14616,-1292,-3192,1566,183,-263,12880,2860,9964,-224,150,-317
1775936092.271636,-14872,-1288,-3136,1407,78,-62,12392,2804,10320,-278,331,-86
1775936092.301451,-15008,-1052,-3104,1104,-242,94,12820,2724,10612,-204,711,185
1775936092.362217,-15324,-892,-3052,1013,-276,32,13360,2620,10820,-81,749,162
1775936092.3623738,-15432,-752,-3316,1026,18,-289,13568,2476,11012,118,364,78
