timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775936359.9312441,-2024,-10472,3652,339,-2425,1838,-7168,10204,-1532,-719,3276,1234
1775936359.93226,-3084,-11088,2412,-4443,-2605,8213,-9820,10280,-2132,-3334,5432,8675
1775936359.961212,-2992,-9928,2672,-10900,-1633,16081,-12440,8084,-1624,-6081,7686,18365
1775936359.991138,-2772,-8992,2340,-18471,3481,23414,-12384,4900,440,-8036,5768,29855
1775936360.0212858,-3940,-6220,304,-26273,8974,28136,-7284,-68,4276,-7887,2903,32767
1775936360.022315,-7164,-3508,-2044,-32768,12525,30492,716,-5076,6980,-6097,1512,32767
1775936360.051195,-11292,-2832,-4536,-32768,10492,30285,13864,-5936,10988,-3784,4289,32767
1775936360.0811641,-18188,-2100,-10520,-32768,9041,26089,25908,-5064,15132,-301,4595,32767
1775936360.1111732,-21968,-2776,-15156,-32599,9331,17444,32767,-2004,17876,4525,1545,32767
1775936360.1426408,-25224,-3748,-18772,-24997,6202,5071,32767,1668,15536,10389,659,25363
1775936360.1426601,-27316,-6848,-24876,-12792,-1091,-5029,32767,4844,8772,12101,3138,7972
1775936360.1731079,-24344,-7736,-24772,1135,-3081,-14120,32767,4632,2632,11502,175,-8601
1775936360.2022998,-21064,-8080,-22596,11943,-3573,-19770,32767,3616,2016,9831,-2592,-20468
1775936360.261545,-17828,-7152,-18796,18448,-3074,-24413,32767,2136,5040,9798,-5405,-28010
1775936360.262377,-14564,-4744,-13768,21236,-2535,-28442,25076,-740,6904,11452,-7268,-32173
1775936360.264362,-10728,-2432,-8388,21392,673,-30949,14212,-3052,7220,13099,-10835,-32762
1775936360.29252,-6168,-3972,-592,19288,-1126,-30204,1636,-1180,3504,16192,-10591,-32009
1775936360.3214788,-2112,-2900,-548,12046,-3001,-23431,-13132,-424,-672,12628,-4126,-21646
1775936360.322502,2284,-4624,1288,2993,2374,-14464,-19392,2392,-6576,10015,-5379,-8070
1775936360.351189,4960,-4672,2372,-5435,5999,-3851,-20776,2600,-9480,5973,-4874,5353
1775936360.3811378,5140,-3980,1500,-12539,5735,6651,-16236,788,-9644,1690,-982,16616
1775936360.411366,3656,-3392,-1160,-17540,5430,14213,-8748,-1024,-7408,-1402,1948,24535
1775936360.412541,704,-2856,-4648,-21146,4473,19629,-1884,-3092,-5784,-3533,4725,30075
1775936360.442932,-3764,-2784,-8124,-23544,4968,23165,6952,-3964,-2112,-4962,5437,32767
1775936360.47265,-9040,-3164,-11868,-24146,3824,23683,18092,-3176,2616,-4896,6682,32767
1775936360.502371,-15364,-3824,-16164,-23094,5632,20241,31068,-1076,7596,-2834,3840,31843
1775936360.531444,-20364,-3304,-21004,-18966,7151,11984,32767,456,10624,1316,228,24373
1775936360.532505,-23812,-5632,-23740,-10725,4735,2402,32767,4012,8748,4285,-1181,12045
1775936360.561304,-23960,-6868,-24412,-394,-2470,-6296,32767,5420,6664,6114,1823,-3027
1775936360.591317,-21344,-7224,-23484,9025,-8274,-13848,32767,4240,4364,7288,3869,-16235
1775936360.621473,-17836,-6676,-22152,15556,-7045,-20008,32767,1972,2784,8372,-59,-24357
1775936360.622475,-14980,-5460,-19936,20247,-3897,-24993,32767,-712,2492,9338,-5014,-29920
1775936360.651263,-11412,-3932,-17944,23483,-3489,-28139,26768,-3976,48,9970,-6522,-32768
1775936360.681243,-6872,-3264,-14000,25314,-1925,-28362,17056,-5316,-3424,8802,-8823,-32768
1775936360.7114828,-3528,-3008,-10496,24763,1123,-25897,7796,-4588,-4856,6697,-10842,-32334
1775936360.7126,-704,-4804,-7440,22502,2917,-21779,588,-1512,-5828,4648,-11220,-27853
1775936360.7434518,700,-6288,-4172,18747,1511,-16048,-4660,1916,-6304,2357,-7770,-22106
1775936360.771471,1412,-7468,-2720,13736,-479,-10098,-6436,4612,-5532,717,-3615,-15421
1775936360.80239,1220,-8164,-2288,8581,522,-5626,-5152,6308,-4424,8,-2647,-8604
1775936360.802455,0,-8660,-2060,4306,2159,-2407,-2152,7532,-3416,-269,-2719,-3027
1775936360.8312142,-1812,-9292,-2972,1316,1922,-125,1952,8324,-2268,-361,-1360,544
1775936360.861115,-2480,-10364,-4136,-562,1746,953,4912,9244,-2340,-92,-695,2527
1775936360.891247,-3384,-11548,-4988,-1744,2566,1718,7124,10108,-3128,-122,-1089,4134
1775936360.921432,-4180,-12476,-6172,-2309,1162,2834,8792,10852,-3724,-549,694,4762
1775936360.9223738,-4484,-12872,-6664,-2272,614,3590,10696,10992,-4060,-1126,1319,4981
1775936360.95128,-5072,-13356,-7748,-2029,311,3967,12516,11460,-3500,-1535,1612,4890
1775936360.981214,-5968,-13292,-8048,-1369,-94,3538,13740,11516,-2884,-1557,1811,4029
1775936361.011334,-6696,-13444,-8776,-914,-531,3010,15372,11844,-1932,-1311,2015,3202
1775936361.012386,-7184,-13368,-8800,-222,-415,1846,15580,11988,-1528,-827,1544,2064
1775936361.043062,-6808,-13476,-8496,374,71,689,14848,11872,-1916,-258,655,1154
1775936361.073052,-6528,-13172,-8404,779,300,-82,14280,11668,-1892,92,197,490
1775936361.102668,-6396,-12996,-8312,1048,120,-753,13872,11488,-1864,507,209,-181
1775936361.102686,-5984,-12824,-7980,1201,449,-1396,13168,11248,-2380,880,-309,-563
1775936361.131199,-5640,-12408,-7828,1429,-55,-1421,12456,10852,-2872,828,155,-881
