timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775935484.791073,7828,-3088,18648,-4371,919,2509,-19528,5592,3272,887,1159,6214
1775935484.791838,7660,-3632,18784,-5854,1112,3274,-19948,5916,3184,1117,1365,7888
1775935484.8195531,8464,-4412,19672,-7778,2953,4324,-22536,6496,2368,1149,177,10546
1775935484.820668,8684,-4944,19736,-10551,4251,6460,-23972,6636,1932,879,-91,14334
1775935484.8251069,7948,-5276,19200,-13561,4285,8338,-22020,6920,3512,1114,844,17725
1775935484.849162,7464,-6380,19052,-16438,5683,9009,-21456,7400,3760,2115,95,20863
1775935484.879321,7200,-6628,18520,-19604,7735,10108,-21532,6764,3040,2800,-983,24589
1775935484.9435892,6760,-7432,17424,-22298,6908,11800,-19584,6676,2132,3093,744,27421
1775935484.943624,5684,-7628,16580,-24771,7795,13644,-18592,5980,2048,2942,749,30661
1775935484.943653,4028,-7348,14652,-26302,5222,15467,-12496,5056,2952,2585,3996,32092
1775935485.0006669,2244,-8952,11896,-25526,4028,14548,-5016,6760,3708,3077,4642,30599
1775935485.0015092,1148,-10060,9336,-23382,5028,12154,-808,8216,2676,3706,2702,27820
1775935485.00332,52,-11224,7840,-20662,3631,10188,1672,9676,1296,3831,3237,24167
1775935485.032223,-524,-11564,6140,-17439,2348,8437,3168,10332,528,3486,3464,20270
1775935485.060224,-1068,-12192,5196,-14048,1233,7076,4296,11196,-532,2728,3624,16497
1775935485.0916,-1192,-13132,4668,-10389,466,5846,5220,12524,-1232,1651,3413,12633
1775935485.119524,-1688,-13148,4480,-6920,1148,4900,4464,12812,-1268,355,1855,9530
1775935485.1212611,-1876,-13264,4600,-4047,2706,4093,3668,13256,-948,-804,-375,7213
1775935485.149492,-1592,-13512,4416,-1878,2463,3504,3160,13736,-508,-1553,-533,5065
1775935485.179457,-2132,-13548,4612,-189,726,2966,2860,14052,216,-1900,660,2960
1775935485.209504,-2520,-13872,5004,1610,790,1898,3840,14460,1004,-2068,6,936
1775935485.2103128,-2740,-13884,5060,3224,1582,542,3096,14488,1456,-1979,-1328,-900
1775935485.241035,-2304,-13728,5852,4231,1279,-517,964,14732,1916,-1673,-1437,-2334
1775935485.2693892,-1824,-13872,6544,4246,244,-952,-1184,14936,2036,-1201,-521,-2823
1775935485.300666,-1656,-14012,7132,3937,-913,-1078,-1500,15132,1936,-819,603,-2984
1775935485.302509,-1484,-14176,7856,3806,-501,-1406,-2740,15452,2040,-545,100,-2915
1775935485.33083,-1044,-14740,8192,3230,-101,-1401,-4024,16040,1924,-258,-122,-2347
1775935485.359585,-832,-14804,8460,2395,-471,-1221,-3980,16164,1816,180,421,-1642
1775935485.390717,-676,-15036,8052,2052,-1489,-1328,-2712,16212,1516,549,1460,-1733
1775935485.3907561,-724,-15032,8368,2159,-1481,-1536,-3192,16120,880,618,1349,-1896
