timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775936510.161692,8336,-3164,14036,6509,-2228,-1461,-12192,4204,-464,-1929,1251,-5632
1775936510.191348,8252,-2508,14972,7888,-3013,-1631,-13000,3848,-208,-2516,1744,-7067
1775936510.193158,7988,-1608,16116,9301,-6352,-1805,-13156,3436,2180,-2862,4756,-9232
1775936510.251786,7996,-600,16240,10819,-13576,-3306,-11236,2600,4008,-1753,11095,-13275
1775936510.2519228,7172,260,16396,13170,-18266,-6405,-10024,1488,4592,-194,14267,-18121
1775936510.28245,8056,920,17128,13937,-17248,-10831,-12932,1360,8336,2902,12196,-20847
1775936510.282488,10428,224,19764,10586,-14414,-14815,-25532,2032,7724,7788,9168,-19417
1775936510.313109,11980,-520,21044,3550,-10305,-14460,-32632,2768,5480,11080,6656,-12281
1775936510.340419,15784,-4144,25976,-6363,-4150,-14703,-32768,8060,11144,16312,1801,-2719
1775936510.371665,13688,916,27748,-24435,-4599,-14953,-32768,2888,23192,27465,5897,11772
1775936510.3725262,11912,1872,25400,-32768,13288,-18951,-32768,-4312,21328,32767,-9161,29590
1775936510.4002821,15556,8920,24816,-32768,25923,-23508,-32768,-19400,13676,32767,-19368,32767
1775936510.432281,20056,12484,22188,-32768,10901,-19407,-32768,-31328,520,32767,-1671,32767
1775936510.46302,17596,13508,16192,-32768,3798,-7911,-32768,-32768,-11588,32767,8579,32767
1775936510.490547,19172,7016,11868,-32768,7975,6214,-24420,-32768,-25104,32767,7053,32767
1775936510.491487,18768,1044,6156,-32768,9908,18659,-14104,-25412,-27848,20076,6676,32767
1775936510.5215201,16624,-2540,1864,-32768,4768,27957,-4816,-18760,-24020,8049,12021,32767
1775936510.553866,12708,-5932,-1232,-32768,5685,32009,5304,-11864,-18996,-248,10289,32767
1775936510.611775,10328,-10532,-4332,-32768,7185,30783,12560,-3300,-14496,-4651,6862,32767
1775936510.613188,5424,-10544,-5216,-27160,9268,26323,16000,788,-10244,-5806,2431,32767
1775936510.6715462,3188,-10072,-4516,-19544,9270,21178,17844,3792,-7032,-6091,-159,30585
1775936510.673235,1284,-11448,-4248,-12369,7105,15360,18400,7688,-5616,-5321,-436,21002
1775936510.67327,752,-12048,-4336,-5481,1029,9901,17640,9888,-3912,-4357,2896,10925
1775936510.703246,-260,-13656,-4168,152,-2609,4849,16168,12072,-4128,-3216,4260,2669
1775936510.70336,-368,-14396,-2948,4684,-3665,644,12952,13068,-3840,-2374,3488,-3529
1775936510.7305331,532,-14644,-1532,7864,-5680,-2706,9128,13288,-3456,-1322,4135,-8404
1775936510.762502,504,-14720,-220,9426,-7105,-4935,5308,13476,-3508,-283,4663,-11223
1775936510.762611,568,-15332,1544,10105,-6999,-5965,2140,14036,-3500,120,4144,-12231
1775936510.7903612,1052,-15808,1544,9532,-4640,-6245,-332,14668,-3516,432,1931,-11265
1775936510.821829,2260,-15824,2472,8062,-2914,-6200,-2060,14824,-3816,1090,619,-9572
1775936510.881602,3096,-15944,4048,6966,-3213,-5778,-3388,15160,-4364,1398,1167,-8581
1775936510.8817449,3500,-16216,4408,6007,-2300,-5064,-4736,15424,-4808,1308,642,-7100
1775936510.882432,4276,-16604,4120,4520,-1329,-4080,-5144,15652,-5576,1283,219,-5133
1775936510.91245,5016,-16676,4472,3498,-875,-3278,-4604,15716,-6544,1137,144,-3736
1775936510.942175,5316,-16376,4224,3122,-733,-2550,-4304,15404,-6840,790,276,-3012
1775936510.972577,5552,-16196,4632,3004,-1267,-1815,-4408,15120,-6848,346,927,-2705
1775936510.974234,5416,-15820,3844,2545,-886,-1120,-4596,14688,-6872,-20,824,-1804
1775936511.003304,5432,-15420,3760,2109,-1256,-221,-3500,14248,-7304,-465,1440,-1102
1775936511.030402,5108,-15524,3860,2397,-248,360,-3368,14320,-6996,-1196,504,-739
1775936511.061738,5188,-15584,3336,2351,-267,829,-2708,14448,-6632,-1532,731,-439
1775936511.0634072,4868,-15624,3580,2566,97,883,-2012,14440,-6616,-1716,285,-508
1775936511.09159,4968,-15728,4144,3034,-861,763,-2924,14944,-5528,-1820,1110,-1227
1775936511.121354,4744,-15984,4088,2709,-1447,663,-3280,15032,-5264,-1491,1689,-1184
1775936511.153884,4652,-15912,4716,2586,-1987,659,-3408,15172,-5360,-1335,2266,-1192
