timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775935665.392179,11888,-2152,12804,-300,671,-331,-15356,2900,-2452,840,46,1293
1775935665.421474,12200,-2748,11280,-1143,639,-1012,-14624,3168,-2896,1931,13,1633
1775935665.421509,13504,-2848,8808,-2450,3530,-2323,-13736,2668,-4408,3495,-2890,2831
1775935665.45004,16100,-808,5720,-3708,6417,-3558,-12988,-900,-9208,4921,-5814,4021
1775935665.450892,21236,4396,4248,-2741,12103,-2754,-13656,-8320,-18404,2997,-11042,5141
1775935665.479985,27680,4444,2784,2072,6282,2239,-14216,-11456,-32768,-3313,-4843,2254
1775935665.50972,30152,5056,1276,10938,7547,13385,-16048,-16248,-32768,-17751,-5383,1321
1775935665.5407171,30600,7444,2536,22498,-2027,30046,-15968,-22896,-32768,-32768,5792,-2063
1775935665.5409422,24076,11412,5680,32767,-19650,32767,-12008,-31104,-32768,-32768,23102,-11313
1775935665.6600661,15252,16708,12232,32767,-19586,32767,-16080,-32768,-11420,-32768,21039,-19420
1775935665.6609979,6884,15996,20832,32767,-3505,32767,-30332,-32768,12928,-32768,4373,-17629
1775935665.662981,-1096,11900,29028,32767,6517,32767,-32768,-22412,32767,-32768,-4404,-3922
1775935665.691819,-5492,14044,32396,26336,15616,32767,-28792,-14132,32767,-32768,-9032,10534
1775935665.691859,-11476,12436,32767,17815,-563,32767,-16132,-5776,32767,-32768,5935,7969
1775935665.7198231,-17000,8400,32767,10818,4166,23947,-11564,4728,32767,-25291,-282,6564
1775935665.7209542,-20000,6248,32767,1205,11788,4632,-8944,11284,32767,-4735,-9910,5771
1775935665.75106,-18028,4956,31932,-7824,6739,-15303,-7632,10688,32767,17113,-7831,868
1775935665.751986,-14976,5304,29188,-16502,778,-32768,-8828,3804,32767,32767,-4479,-3986
1775935665.780063,-7140,6820,26124,-24631,-4394,-32768,-13768,-7660,32767,32767,-1314,-6681
1775935665.809783,1992,10540,21696,-32646,-16926,-32768,-18388,-21584,30512,32767,11027,-8134
1775935665.8412411,10604,14048,14004,-32768,-23877,-32768,-19828,-32768,13668,32767,18860,-4467
1775935665.8422048,18204,17028,1824,-32768,-10544,-32768,-18744,-32768,-10784,32767,7448,5544
1775935665.8702452,27284,12156,-1680,-32768,27003,-32768,-20212,-32768,-32768,32767,-27983,15347
1775935665.931932,32767,9932,-312,-27643,21414,-32768,-24412,-30056,-32768,32767,-21346,11740
1775935665.9320982,32767,12240,-5388,-15518,-5782,-11972,-21636,-29936,-32768,18916,7213,5855
1775935665.989982,32767,10628,-10248,1286,-5682,9095,-11000,-28220,-32768,-7810,7452,3294
1775935665.991158,32767,9648,-9580,18536,3343,26432,-8384,-28228,-32768,-32459,-3,677
1775935666.020019,30332,10308,-3248,32051,-6875,32767,-7952,-30072,-32768,-32768,10523,-6294
1775935666.021003,19664,13680,3552,32767,-21079,32767,-9388,-32768,-22612,-32768,23263,-16827
1775935666.0237088,11664,14732,11488,32767,-14854,32767,-18652,-32768,-2108,-32768,15542,-20619
1775935666.051287,3956,14800,20236,32767,2588,32767,-29692,-30632,20876,-32768,-1312,-13592
1775935666.079988,-3168,13204,29692,32767,13479,32767,-31484,-20124,32767,-32768,-14770,-1397
1775935666.109882,-7604,13432,32767,27822,7320,32767,-23560,-10660,32767,-32768,-2747,3207
1775935666.141164,-15820,10144,32767,18697,6949,30978,-21300,380,32767,-32768,-4245,5016
1775935666.1420102,-19056,8336,32767,5681,15038,13873,-14804,9256,32767,-14999,-11660,8142
1775935666.1696918,-19952,5092,32767,-4760,2772,-5711,-9316,12600,32767,8182,-2188,2368
1775935666.199743,-18908,4412,30604,-15116,2630,-24517,-9892,8308,32767,29303,-4792,584
1775935666.232399,-12192,6832,26432,-23587,-1099,-32768,-7616,-3232,32767,32767,-3013,-2943
1775935666.2599301,-5252,8820,20784,-29864,-10339,-32768,-10100,-15916,32767,32767,4305,-6649
1775935666.26087,3136,12356,13892,-32768,-5706,-32768,-11788,-28384,21536,32767,-551,-5592
1775935666.3210611,14148,20180,6108,-32768,13900,-32768,-16564,-32768,2100,32767,-19650,-2378
1775935666.321194,27276,17220,7404,-27461,27429,-32768,-26632,-32768,-30528,32767,-32768,-2745
1775935666.32186,32767,10460,10156,-15990,15525,-32768,-32768,-28488,-32768,32767,-20135,-4769
1775935666.350883,32767,7672,10900,-8504,-4192,-19362,-32768,-18388,-32768,20993,2442,-3396
1775935666.380887,27704,6664,8912,-5128,-17942,-1737,-27364,-12576,-31112,6303,18453,-451
1775935666.41085,20784,4500,8008,-2247,-9153,5474,-18116,-7880,-18916,-1913,10544,3400
1775935666.46993,16928,1128,10124,-130,3346,6887,-15324,-2368,-9748,-5475,-1387,5693
1775935666.470816,13916,-1936,12372,322,1195,6631,-15276,2260,-3388,-5181,759,4662
1775935666.472769,10824,-3020,13008,203,-3897,6034,-13772,3832,-1444,-4102,5748,3051
1775935666.500848,9400,-3360,13000,617,-2005,4988,-11996,4348,-1056,-3704,3477,2660
1775935666.5297668,9368,-3168,14068,1819,-721,3351,-11936,4624,652,-3182,1693,1136
1775935666.531614,9944,-3096,14596,2181,-3369,1295,-13324,4796,1720,-1432,3854,-990
