timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775935402.9512908,15864,-3124,6000,1599,-191,-754,-11700,1544,-10304,189,397,-697
1775935402.9513779,15840,-3268,6076,1664,-109,-839,-11904,1580,-10204,189,255,-776
1775935402.979337,15748,-3384,6092,1547,-525,-974,-11876,1688,-9872,419,670,-886
1775935403.009362,15848,-3324,6140,1503,-857,-1190,-11872,1688,-10116,676,946,-1025
1775935403.039306,15960,-3180,6300,1494,-150,-1275,-12352,1512,-10532,679,228,-886
1775935403.040237,16296,-3248,6028,1338,190,-1164,-12520,1528,-10744,607,-12,-577
1775935403.069962,16268,-3180,6016,1170,-387,-977,-12212,1408,-10696,615,621,-535
1775935403.099524,16324,-3140,6108,1232,-426,-1002,-12268,1368,-10592,617,607,-564
1775935403.1301591,16416,-2936,6092,1228,-504,-916,-12552,1184,-10708,555,752,-557
1775935403.1594398,16264,-2796,6368,1169,-744,-834,-12368,1096,-10544,534,980,-547
1775935403.1632059,16652,-2992,7376,1293,76,-788,-13804,1392,-10732,343,137,-375
1775935403.189705,17760,-3908,9444,331,4256,-12,-19716,2628,-10796,-151,-3558,1976
1775935403.219755,19088,-3444,11516,-3040,5760,2010,-25628,2348,-9428,-19,-3808,6272
1775935403.249376,20680,-4288,12996,-8176,5833,4135,-28320,3360,-8876,1281,-2601,11634
1775935403.2502751,22980,-5160,15760,-14331,15249,6274,-32768,3120,-11756,2121,-10322,20437
1775935403.2800682,24216,-4780,17812,-22565,27887,9731,-32768,1040,-12240,2625,-19961,32411
1775935403.3132548,25004,-2760,15304,-30229,22401,13208,-32768,-3516,-11804,4909,-12151,32767
1775935403.34022,24144,-2552,13660,-32768,9467,17585,-30544,-6324,-14988,5274,2162,32767
1775935403.3420238,20924,-1040,12060,-32768,2393,24682,-25492,-9968,-15192,1445,10733,32767
1775935403.371178,16616,-2168,8024,-32768,5193,28683,-11548,-9480,-12928,-3041,8396,32767
1775935403.399311,13080,-5876,5268,-30862,13420,28066,-2712,-4760,-12304,-5981,-538,32767
1775935403.430285,10312,-6284,2740,-26010,15643,26388,1484,-2372,-10332,-7617,-3760,32767
1775935403.504821,7924,-7632,1016,-21466,12242,24079,4812,704,-8032,-7987,-1762,32767
1775935403.506138,5908,-8176,-288,-17254,10333,20926,6444,3148,-6360,-7611,-1454,28936
1775935403.520767,4260,-9120,-1444,-14066,9973,17840,6932,5004,-5572,-6914,-2397,24650
1775935403.5209851,3144,-11124,-2324,-11585,8421,15083,7868,7688,-5236,-5912,-1894,20658
1775935403.549551,2564,-12124,-2880,-9465,7165,12117,8572,9344,-4864,-4583,-1775,17062
1775935403.550594,2396,-12752,-2980,-7697,6057,9309,7672,10500,-5276,-3232,-1670,13858
1775935403.579227,2112,-13372,-2984,-6422,4036,7453,7232,11196,-5456,-2267,-352,11302
1775935403.609178,2028,-13760,-3180,-5237,2736,5571,7328,11828,-5268,-1271,206,8976
1775935403.639273,2472,-14252,-3008,-4182,2553,3516,6420,12264,-5820,-211,-251,7020
1775935403.640296,2352,-14412,-2952,-3583,1463,2415,5196,12424,-6536,429,457,5620
1775935403.6993349,2644,-14588,-2916,-3036,590,1591,5324,12756,-6748,872,1004,4504
1775935403.700181,2616,-14824,-2676,-2439,249,759,5032,12912,-7244,1254,1019,3471
1775935403.7295082,2808,-15260,-2460,-1538,-202,266,4772,13228,-7716,1153,1203,2371
1775935403.7302752,2884,-15180,-2432,-696,169,-47,4304,13184,-7928,876,598,1612
1775935403.75959,2964,-15472,-2344,-45,401,-226,4216,13256,-7928,649,251,1061
1775935403.790169,3344,-15752,-1948,664,-203,-514,3900,13836,-7928,550,645,159
1775935403.82163,3324,-15828,-1700,1064,-349,-631,2792,13808,-7936,362,671,-255
1775935403.821894,3512,-15744,-1364,1374,-235,-533,2716,13844,-8048,152,551,-444
1775935403.849515,3656,-16152,-936,1872,-360,-499,2444,14252,-8196,-162,567,-862
1775935403.88005,3808,-16256,-620,2151,367,-290,1184,14364,-8068,-579,-138,-773
1775935403.909503,3956,-16064,-668,1896,658,76,692,14292,-7676,-773,-295,-221
1775935403.911534,3868,-16148,-776,1549,-169,288,1520,14408,-7408,-617,679,-104
1775935403.939302,3588,-16348,-384,1568,-561,215,1688,14580,-7424,-548,957,-285
1775935403.969846,3476,-16288,-292,1657,-238,382,1216,14492,-7532,-766,698,-143
1775935403.9993129,3312,-16080,-360,1598,215,610,1320,14440,-7172,-966,284,105
1775935404.0003042,3264,-16068,-380,1598,203,597,1844,14508,-6736,-952,323,130
1775935404.0294259,3224,-16172,-280,1621,-91,396,1828,14612,-6588,-768,546,-76
1775935404.059532,3100,-16248,-196,1541,-135,285,1428,14512,-6692,-639,594,-70
1775935404.090518,3008,-16116,-340,1405,179,286,1512,14492,-6616,-555,298,77
1775935404.092486,3072,-16188,-316,1349,292,118,1936,14556,-6668,-443,186,86
1775935404.1233,3116,-16176,-260,1335,-19,-16,1804,14632,-6656,-289,444,-42
1775935404.15619,3036,-16100,-240,1307,-52,-37,1308,14584,-6724,-237,443,-41
1775935404.185775,3112,-16060,-220,1115,44,26,1452,14544,-6648,-212,446,163
1775935404.185927,3076,-16136,-324,1105,-44,-85,2124,14624,-6624,-102,491,101
1775935404.209632,3004,-16172,-440,1310,-248,-353,2376,14684,-6708,31,561,-290
1775935404.239531,3072,-16276,-268,1477,51,-562,1708,14612,-6860,65,231,-452
1775935404.27317,3256,-16024,-428,1354,215,-398,1256,14368,-6924,-3,101,-191
1775935404.273761,3248,-16168,-324,1176,-28,-245,1460,14544,-7008,34,451,-27
1775935404.299602,3120,-16208,-456,1126,-241,-211,1736,14600,-6980,19,644,-52
1775935404.330115,3088,-16192,-204,1327,-77,-223,1900,14632,-7096,-113,432,-152
1775935404.359465,3056,-15992,-32,1495,459,-167,1564,14448,-6908,-301,-113,-108
1775935404.360211,2884,-16076,-396,1475,588,-121,1748,14540,-6724,-355,-188,-54
1775935404.389714,3212,-16192,-472,1369,135,-348,2040,14720,-6572,-48,227,-244
1775935404.4208992,3208,-16188,-544,1337,-422,-621,1992,14632,-6800,244,710,-521
1775935404.4210298,3088,-16252,-244,1440,-508,-640,1632,14564,-7080,213,729,-599
1775935404.449288,3156,-16036,-376,1523,62,-479,1576,14320,-7108,-43,177,-419
