timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775935583.3406148,7380,-6040,14792,3143,1053,9,-13724,7036,-1476,-1475,-938,-1219
1775935583.370046,7272,-6092,14664,3882,1571,696,-13308,7252,-1048,-2465,-1418,-1310
1775935583.3709922,7248,-5932,14624,4325,1427,952,-13380,7364,-180,-2895,-1288,-1634
1775935583.4906712,6992,-5688,14880,4508,1002,945,-13412,7276,480,-2966,-927,-1921
1775935583.491508,6652,-5420,15004,4777,1366,879,-13272,7080,604,-3088,-1346,-2063
1775935583.5818071,6432,-5476,14788,5263,1543,915,-12668,6868,288,-3415,-1632,-2395
1775935583.581923,6280,-5032,14152,6139,1459,1194,-11744,6160,-336,-4121,-1638,-3023
1775935583.583615,6376,-4940,13760,7898,2079,1492,-10280,5824,-1520,-5435,-2522,-4137
1775935583.64188,6728,-4540,13948,9975,4006,1900,-11304,5312,-1608,-7136,-4656,-5089
1775935583.6419919,7232,-4748,14592,11543,4857,2884,-13036,5340,-1636,-8897,-5511,-5670
1775935583.642829,8188,-5420,15816,12718,4933,3979,-14528,6048,-1792,-10429,-5583,-6025
1775935583.642915,8800,-5828,19112,12621,9755,5539,-22464,6800,-1056,-12228,-9951,-3744
1775935583.6711318,8804,-5248,22116,9281,15711,9253,-28120,6924,1264,-13991,-14155,2582
1775935583.673755,7968,-4400,24064,4793,15012,13202,-29060,6764,4036,-14676,-11739,8111
1775935583.761716,4500,-3348,26740,-95,10026,17088,-29912,7076,10396,-14723,-5102,12721
1775935583.762923,-988,-3760,27724,-6675,5428,18639,-27324,9512,21756,-11714,676,17842
1775935583.793278,-4420,-1048,26676,-14762,2678,14537,-21224,8700,31472,-3307,4150,21530
1775935583.7933881,-6904,-1440,25432,-21796,40,6263,-15224,8776,32767,7678,6040,22345
1775935583.822685,-8464,-768,23036,-27071,1990,-2270,-11028,6240,31176,17462,3170,22769
1775935583.8228102,-7352,328,19052,-29666,1949,-9348,-6816,2348,24528,24667,2276,21205
1775935583.82291,-5956,300,14892,-29650,-1606,-14070,-2508,28,17912,28827,4698,17833
1775935583.880308,-6252,-344,10816,-27428,-280,-18449,3920,-560,14328,31081,1803,14090
1775935583.88131,-5736,-480,8012,-21748,8787,-24571,9828,-1392,9516,31969,-9402,8624
1775935583.8829892,-3924,-1000,5268,-11968,20656,-30768,13408,-2028,2940,30330,-23903,579
1775935583.883022,-56,-1620,3240,1736,24992,-32768,15440,-3360,-5212,25241,-31302,-11575
1775935583.9400609,2840,-880,1844,18440,23427,-32768,17280,-7032,-10596,16420,-32768,-26110
1775935583.940971,6696,1980,2060,32767,23531,-32768,12924,-13972,-11748,5245,-32768,-32768
1775935583.942821,13184,3760,5460,32767,19108,-29566,-4916,-19260,-12112,-5063,-32768,-32768
1775935583.97136,18952,2292,13244,32767,9819,-19809,-29500,-17496,-14520,-14226,-22922,-32768
1775935583.999818,21412,4688,21508,32767,11776,-4255,-32768,-13980,-11412,-22990,-20062,-32768
1775935584.033008,23900,2280,24604,32767,8575,8770,-32768,-6924,-7148,-27404,-11992,-21127
1775935584.059916,23896,3428,25664,28119,-6206,17683,-32768,-7244,-9968,-29204,5638,-14572
1775935584.0614998,21288,3768,28148,20639,-7603,29095,-32768,-7312,-7156,-32768,10442,-2747
1775935584.0902138,17684,4096,26216,12104,-9692,32767,-32768,-7700,488,-32768,16457,8602
1775935584.1503081,13060,4160,25616,5237,-13746,32767,-32768,-8332,5264,-32768,22722,16317
1775935584.150866,8980,5080,27136,-974,-16412,32767,-32768,-8092,17228,-32768,27396,22567
1775935584.151881,3948,5820,28460,-9159,-19415,32767,-32768,-4884,31144,-30469,31202,27257
1775935584.1799612,-1724,3416,28908,-18766,-10454,32767,-27440,156,32767,-19122,22167,32767
1775935584.21047,-4232,1440,25804,-27966,7609,23827,-14680,3224,32767,-3879,3261,32767
1775935584.2404768,-4188,1580,21048,-32686,8346,8656,-4344,2116,32767,11060,645,32767
1775935584.272366,-3036,1464,15916,-32368,-7004,-3028,2560,180,23644,22123,13054,24076
1775935584.273608,-1736,352,12200,-28358,-9597,-10760,3856,-1264,11380,26314,12617,16283
1775935584.300779,380,-792,11024,-21757,-532,-14578,2652,-1172,-32,24553,1699,11298
1775935584.3334122,4892,-3080,8680,-14008,8626,-15303,-796,332,-7736,19851,-8540,7029
1775935584.359908,9076,-4220,8204,-6826,7331,-13190,-4196,1668,-11004,14230,-7883,1774
1775935584.3607879,10760,-5616,8724,-1380,-1896,-10063,-7184,3632,-11236,9590,726,-3582
1775935584.419965,11100,-6976,9776,1959,-6020,-7234,-10844,5384,-10736,5842,4475,-5945
1775935584.4210792,11248,-7136,11108,3817,-1872,-4731,-13568,6044,-9608,2312,591,-4988
1775935584.4510999,11300,-7192,12652,4891,4495,-2579,-15188,6684,-8080,-707,-5247,-3025
1775935584.4512231,11972,-7440,14144,5324,5604,-1023,-16488,7732,-5408,-2276,-5943,-2307
1775935584.479809,11664,-8104,15252,4660,1710,-98,-17856,8924,-3040,-2244,-1798,-2363
1775935584.5106912,10388,-8164,15988,3315,86,224,-18268,9548,-1560,-1586,-2,-1477
1775935584.539644,9788,-8328,15948,1851,1043,232,-17316,9716,-1156,-863,-653,-28
1775935584.5406249,9112,-8024,15768,787,1862,183,-16560,9640,-588,-304,-1234,1059
1775935584.5694342,8916,-7832,15356,-85,2648,-114,-15664,9304,-660,342,-1916,1822
1775935584.599572,8768,-7844,14612,-585,2528,-219,-14688,9024,-1584,729,-1706,2142
