timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775935510.499495,5168,-4260,16612,3707,-234,-677,-13636,6716,3468,-1088,64,-2373
1775935510.531429,5220,-4164,16352,4047,96,-833,-13400,6500,3216,-1149,-352,-2634
1775935510.531768,5396,-4340,16568,4541,1778,-914,-13928,6596,2664,-1605,-2113,-2612
1775935510.5595899,5744,-4320,16652,4690,2357,-712,-14640,6580,3096,-1934,-2601,-2482
1775935510.619591,5844,-4264,16728,4475,1128,-600,-14928,6708,3596,-1714,-1334,-2577
1775935510.620704,5544,-4216,16668,4061,442,-393,-15280,6640,3292,-1594,-570,-2315
1775935510.622475,5100,-4584,16536,3613,1169,108,-14824,7016,3268,-1839,-1106,-1461
1775935510.652561,4784,-5272,16492,3474,910,233,-13276,7892,3848,-1789,-744,-1411
1775935510.6822028,4232,-6784,16084,3508,371,-129,-12608,9232,3724,-1482,-328,-1763
1775935510.711432,3912,-8252,16100,3731,-47,-142,-12396,10548,2748,-1569,49,-2080
1775935510.7114701,3408,-10988,16880,4221,743,462,-12988,13200,1908,-2419,-702,-1918
1775935510.739465,3140,-13524,17968,4595,2438,1242,-13200,16080,2600,-3433,-2225,-1349
1775935510.7700639,2352,-15460,18000,5072,1053,1554,-11600,18176,3536,-3827,-852,-2013
1775935510.7996109,1096,-16368,17140,6456,587,1284,-8692,18648,2532,-4333,-755,-3351
1775935510.800673,-52,-16864,18412,8876,4817,1971,-10896,18992,848,-6798,-5239,-3760
1775935510.8294442,444,-17016,18592,9985,8921,4170,-12524,19292,2892,-9646,-8784,-2401
1775935510.8594408,568,-14328,18652,9601,9159,4435,-12368,17520,7484,-9592,-8873,-1897
1775935510.889858,-524,-9324,18888,7898,9384,4153,-14120,13132,10652,-8403,-8763,-583
1775935510.919677,-1384,-6184,18556,5372,11150,2789,-13764,10500,13104,-5993,-10406,1217
1775935510.9207628,-584,1556,19316,1815,14829,1316,-17096,3604,15096,-3135,-13677,4405
1775935510.949514,2508,9592,18872,-2345,13108,602,-18540,-4696,15956,119,-11152,6891
1775935510.979606,6308,12960,17620,-5234,-1815,-1742,-14844,-8460,14752,5245,3364,3795
1775935511.011499,4716,14460,18344,-4780,-639,-6218,-12036,-10436,12072,8392,452,1428
1775935511.011841,6252,13388,18064,-1549,10069,-9287,-13072,-10596,6320,7825,-10970,62
1775935511.0706189,10376,12276,17432,953,548,-8861,-17792,-10080,4312,7006,-1681,-4413
1775935511.0714712,8948,9948,17936,458,-11560,-7725,-19876,-7160,6200,7662,10164,-6589
1775935511.09967,5560,7280,18284,-1137,-8763,-6913,-20036,-4540,5528,7575,7541,-3958
1775935511.100636,4148,5324,17564,-2139,-137,-4139,-19348,-2940,3360,4995,83,669
1775935511.129548,4128,3796,16608,-2319,435,-325,-16424,-1704,3052,1916,651,2940
1775935511.160755,2556,2624,16380,-1410,-791,2039,-12128,12,4860,-372,2159,3066
1775935511.189814,1364,1440,16304,681,1252,2242,-9588,1620,6760,-1884,-233,2023
1775935511.2195761,840,208,16524,2459,3838,1399,-9812,3216,8256,-2500,-3223,792
1775935511.2205539,1104,-480,16812,3186,4065,323,-11100,4212,9212,-2023,-3745,-315
1775935511.279946,1124,-1216,16892,2992,1795,-411,-12236,4980,9240,-1089,-1618,-1117
1775935511.2805288,1184,-1816,17120,2304,-452,-816,-12732,5484,8860,-121,550,-1412
1775935511.339612,1164,-2416,17484,1748,-1195,-1108,-13048,5956,8364,520,1254,-1286
1775935511.340527,1408,-2356,17864,1153,-75,-1195,-14096,5856,8048,804,192,-476
1775935511.342361,1612,-2752,17652,555,2003,-999,-13860,6124,7248,776,-1594,626
1775935511.372685,2008,-2944,17408,389,1017,-611,-12940,6104,6536,642,-487,685
1775935511.520842,2356,-2612,17304,737,-954,-382,-12556,5856,6512,453,1402,-55
