timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775936562.3615701,6672,-13052,8904,1152,251,-431,-8364,13148,-3708,155,99,-20
1775936562.390571,7000,-12896,9024,987,258,-540,-8456,12944,-3880,304,131,50
1775936562.3918452,7060,-13016,8972,952,-54,-532,-8316,13060,-4312,366,412,-13
1775936562.3935091,7060,-12992,9024,1030,316,-518,-8452,13096,-4436,271,35,63
1775936562.393666,7372,-12940,8892,1087,402,-366,-8472,12820,-4892,104,0,104
1775936562.421332,7600,-12824,8800,1280,127,-136,-8444,12648,-5116,-156,300,-18
1775936562.423342,8020,-12728,8604,1486,-541,286,-8612,12452,-5776,-541,979,-132
1775936562.4240708,8544,-12704,8400,1889,-2126,1095,-8912,12144,-6992,-1288,2628,-472
1775936562.451647,8816,-12820,8028,2509,-2524,2205,-8784,11916,-7848,-2503,3158,-436
1775936562.451686,9352,-12724,8288,3237,-3424,3590,-9536,11728,-8188,-3962,4202,-532
1775936562.453407,9004,-12660,8304,3726,-4961,5319,-10224,11640,-8004,-5489,5946,-375
1775936562.4534981,8132,-12620,8740,3707,-2390,6654,-10420,11836,-6344,-6832,3695,1090
1775936562.481437,7336,-12736,9700,3151,-373,7324,-10256,12736,-3652,-7186,2045,2407
1775936562.5113258,6644,-13072,9968,2143,-799,7034,-9428,13456,-1536,-6293,2659,2930
1775936562.5416598,5588,-13180,9732,1284,-1885,6108,-7900,13956,-748,-4937,3626,2805
1775936562.574647,4548,-13464,9392,1020,-2056,4995,-6232,14248,-916,-3863,3557,2345
1775936562.6014888,3712,-13776,8860,1371,-1102,3897,-4868,14348,-1240,-3305,2363,1760
1775936562.6016152,3516,-13772,8996,2006,365,2766,-5096,14492,-908,-2919,545,1010
1775936562.6322,4152,-13588,9404,2088,1216,1692,-6592,14424,-608,-2187,-487,603
1775936562.662475,4456,-13652,9692,1684,-93,1038,-7336,14416,-984,-1309,708,227
1775936562.662511,4136,-13904,9796,1423,-267,782,-7464,14628,-1368,-942,818,258
1775936562.691206,3968,-13912,9540,1166,107,698,-7284,14696,-1396,-740,506,567
1775936562.750392,3876,-13928,9480,1021,794,407,-6400,14660,-1048,-508,-231,660
1775936562.751232,3664,-13888,9424,1036,981,-259,-6148,14712,-828,-26,-491,349
1775936562.753052,2688,-13588,8828,1039,3772,-1013,-5140,14624,-224,339,-3498,691
1775936562.810375,2084,-13448,8556,1293,7690,-2315,-3736,14368,336,812,-7553,898
1775936562.811248,1376,-13108,7480,1899,9689,-3955,-1372,14024,828,1596,-9902,5
1775936562.8403661,-152,-12136,5564,3837,12930,-6287,3380,12440,304,1993,-13988,-1960
1775936562.900508,-1700,-10536,2692,8867,19705,-9312,11668,9864,-1828,643,-22176,-5808
1775936562.901386,144,-10276,56,17840,20730,-12684,17452,7120,-6080,-2013,-25153,-14785
1775936562.93171,3720,-8340,1852,31101,16626,-15256,18784,2316,-7980,-7326,-24288,-28067
1775936562.9317498,7084,-6120,11204,32767,-7361,-16715,-1560,-748,1836,-9782,-3185,-32768
1775936563.111624,7312,-6976,23592,32767,-21274,-19681,-30660,3948,13092,-4118,9065,-32768
1775936563.1124108,11856,-5724,32767,19794,2538,-18723,-32768,10700,20768,3432,-10442,-23819
1775936563.17166,16476,-3644,32767,-6564,2331,-10961,-32768,11408,20200,13142,-2454,1543
1775936563.17417,15292,-7676,32272,-25699,248,-3519,-32768,9332,6576,18664,4425,20368
1775936563.202522,11280,-9108,22588,-32381,8013,1415,-28060,6208,-1880,17735,-489,30290
1775936563.232743,4976,-7616,12140,-31004,4598,5063,-6788,3000,-5092,14276,3242,30032
1775936563.232783,812,-7108,2152,-23235,3618,5612,14368,2564,-7980,9256,2632,23610
1775936563.262462,-360,-7784,-5196,-8949,1026,1462,32056,4380,-9944,4268,1616,8933
1775936563.262501,-296,-10580,-7664,9498,-899,-6682,32767,6528,-12996,223,-1800,-10986
1775936563.2650938,2684,-6476,-2696,27828,-1336,-14312,25380,96,-9828,-4413,-6308,-29968
1775936563.2918699,5800,-4528,10724,32767,-6585,-19208,-8308,452,6608,-3649,-4094,-32768
1775936563.291904,9432,-5724,26676,23248,1760,-20985,-32768,8520,20040,3150,-10631,-28379
1775936563.411659,15600,-4812,32767,-1086,-4926,-16116,-32768,11856,21440,14733,2291,-7718
1775936563.412441,18692,-7700,32767,-23407,-6857,-8271,-32768,10304,8048,21675,9600,13958
1775936563.445183,19808,-7704,30604,-32768,-6852,-705,-32768,4924,1116,23456,14089,28516
1775936563.445319,14264,-5464,20384,-32768,-6133,6796,-32768,-2268,-2444,21975,16325,32767
1775936563.445351,9424,-5216,9880,-32768,8584,11190,-14156,-6184,-6056,18591,3523,32767
1775936563.501847,7560,-6428,3856,-32768,6968,12915,3380,-4892,-10348,14688,4806,32767
1775936563.501972,7496,-7984,-384,-32768,2388,11513,12460,-608,-11244,10974,7118,32767
1775936563.532703,6360,-8516,-4732,-24041,-1179,8131,16676,2076,-12900,8231,7778,24263
1775936563.53282,5960,-11588,-3800,-13486,1577,4411,17664,6868,-14796,4607,2562,14439
1775936563.561741,6836,-11496,-4824,-3984,-593,963,13860,8064,-12940,2081,2102,4409
1775936563.56178,6936,-12420,-3596,1745,-3118,-1486,8528,9192,-12220,987,3074,-2189
1775936563.564457,6600,-12644,-1816,5544,-3752,-2716,4124,9860,-11172,-182,2636,-6001
1775936563.564597,6744,-12656,908,7750,-1955,-2905,-424,10432,-9912,-1531,436,-7332
1775936563.5916421,7392,-13332,2332,8190,-3386,-2281,-4556,11468,-8424,-2133,1888,-7712
1775936563.5916748,7444,-14124,3888,7112,-2345,-1501,-7056,12656,-7512,-2247,1246,-6084
1775936563.592285,7708,-14512,4700,5630,-322,-601,-7796,13204,-7548,-2269,-190,-3828
1775936563.624445,8016,-14748,6232,4549,424,363,-8216,13764,-6912,-2509,-457,-2270
1775936563.624543,8140,-15016,6512,3477,-320,796,-8068,14480,-5984,-2118,589,-1388
