timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775247832.46085,1892,-14624,8624,1567,208,-276,-5008,15396,-644,-220,107,-335
1775247832.4617352,1932,-14696,8708,1463,222,-292,-5036,15520,-660,-147,88,-235
1775247832.4627717,1964,-14724,8824,1427,91,-335,-5044,15464,-640,-69,235,-284
1775247832.5209756,2008,-14744,8924,1431,81,-378,-5144,15536,-632,-49,197,-318
1775247832.5218494,1940,-14716,8868,1298,-135,-443,-5440,15560,-440,132,430,-270
1775247832.580998,1960,-14680,8912,1004,16,-387,-5548,15480,-516,227,335,33
1775247832.5815551,1968,-14680,8860,729,176,-278,-5452,15400,-572,263,304,319
1775247832.5826762,2048,-14640,8852,653,68,-218,-5140,15436,-684,290,429,419
1775247832.641032,1936,-14680,8684,616,347,-252,-4944,15520,-764,312,121,468
1775247832.6414459,2016,-14648,8516,653,169,-245,-4852,15492,-980,293,322,416
1775247832.6426742,1884,-14588,8436,695,286,-172,-4800,15320,-1004,212,204,443
1775247832.7009008,1860,-14616,8284,653,743,-95,-4916,15244,-908,110,-202,648
1775247832.701785,1928,-14568,8376,610,602,36,-4932,15188,-912,46,-29,710
1775247832.7611346,1928,-14628,8348,500,609,145,-5036,15152,-992,20,-31,866
1775247832.821144,1816,-14740,8360,365,458,404,-5104,15488,-956,-91,210,1045
1775247832.8214788,1136,-15044,8480,90,1614,624,-5076,15780,-700,-227,-826,1779
1775247832.822569,912,-15124,9132,-423,3705,1078,-6148,15992,-212,-490,-2668,2988
1775247832.8236556,568,-15476,9788,-1455,4680,2039,-7564,16488,512,-758,-3138,4597
1775247832.824675,-384,-14624,9552,-3116,7032,2952,-7036,15728,1664,-770,-5005,7144
1775247832.8812354,-1556,-11056,7204,-5142,9584,3365,-4436,12032,3596,-175,-6983,9668
1775247832.8821352,-2544,-5544,1156,-6291,9542,1852,6312,6012,4308,1793,-6941,9588
1775247832.9411178,-4064,-4672,-9796,461,3710,-3523,32767,2240,-5248,2336,-3499,-857
1775247832.9418154,-5852,-7060,-11228,24576,-4733,-13470,32767,-300,-15192,-3096,-1557,-28331
1775247832.943228,-5188,4544,-9764,32767,-8432,-24737,32767,-24028,-9972,-12080,-6958,-32768
1775247833.0014198,-3500,13500,-6604,32767,-2080,-29714,21236,-32768,788,-19515,-17244,-32768
1775247833.0019035,2552,15924,4624,32767,-616,-28928,-708,-32768,5784,-25142,-19828,-32768
1775247833.0035539,7412,19100,16520,32767,-7277,-23683,-32624,-32768,12240,-27402,-12230,-32768
1775247833.0610461,9836,19476,29220,32767,5518,-16030,-32768,-32768,16860,-30113,-21769,-32768
1775247833.062005,14320,17952,32767,32767,11323,-10273,-32768,-27068,24772,-29597,-22710,-32768
1775247833.1212096,12692,14856,32767,32767,1871,-10009,-32768,-18768,23436,-22612,-12177,-32768
1775247833.1218963,12172,12740,32767,32767,1275,-6625,-32768,-12364,19056,-18519,-8495,-32768
1775247833.123067,11708,13336,32767,27802,526,-2744,-32768,-7936,23420,-13390,-5207,-22396
1775247833.1808822,9180,10852,32004,14187,-6110,-1276,-32768,-3668,21856,-5963,3846,-12499
1775247833.1820269,7316,11032,27644,4768,-4630,-1623,-32768,-4468,18440,-373,3873,-4804
1775247833.2410984,6536,11152,23688,-1010,-4002,-2303,-26296,-5824,14336,3496,4179,-351
1775247833.2416217,5620,10256,20592,-4156,-2840,-1898,-22036,-6080,9944,4797,3659,2691
1775247833.2428095,4940,9848,17660,-5323,-1863,-590,-16964,-6824,6932,4264,3262,4583
1775247833.3007069,4468,9916,15436,-4343,-1810,421,-12876,-7416,5672,2877,3236,4278
1775247833.301578,4240,10528,14512,-2558,-865,600,-11080,-8060,5788,1591,2064,3148
1775247833.3028524,4404,10716,14036,-1234,357,461,-12260,-8152,6340,783,632,2354
1775247833.361138,4688,9972,14148,-905,1159,458,-13064,-7208,6512,529,-192,2290
1775247833.3618507,4444,9500,13712,-995,266,638,-12840,-7004,6444,555,724,2245
1775247833.4209187,4504,9464,13600,-885,-541,749,-12328,-6960,6284,496,1494,1991
1775247833.4216638,4356,9556,13736,-721,-399,733,-12608,-7000,6748,397,1316,1896
1775247833.4230006,4500,9276,13904,-832,-153,471,-12624,-6652,6824,622,1065,1908
1775247833.4810874,4472,9372,13500,-862,-419,190,-11956,-6820,6488,915,1260,1702
1775247833.4817133,4436,9412,13436,-318,-113,-60,-11524,-7000,5788,760,814,1168
1775247833.4828568,4548,9452,13860,633,53,-56,-11380,-6972,5268,157,476,456
1775247833.5408213,4568,9372,13964,1786,213,39,-11892,-6996,5452,-606,127,-335
1775247833.5418613,4676,9108,13996,2460,599,152,-12612,-6780,5740,-1143,-328,-749
1775247833.6008396,4592,8776,14072,2797,219,377,-12932,-6316,5960,-1456,39,-963
1775247833.60163,4672,9032,14460,2907,281,633,-13596,-6404,6176,-1739,-12,-888
1775247833.6027317,4688,8812,14812,2707,735,792,-14060,-6036,6944,-1784,-380,-540
1775247833.6609242,4696,9128,15188,2224,616,672,-14232,-6072,7692,-1367,-181,-211
1775247833.6614447,4592,9200,15164,1729,475,335,-13816,-6076,7732,-823,-59,-68
1775247833.6626494,4528,9212,15388,1384,770,-8,-14060,-6100,7668,-367,-362,113
1775247833.7209418,4752,9256,15280,1013,612,-89,-14452,-6260,7304,-93,-138,332
1775247833.721818,4676,9136,15284,625,245,58,-14548,-6208,6964,54,318,604
