timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775273016.4738758,-2768,-13452,-8900,923,429,249,12432,10916,-5932,-244,125,529
1775273016.5336943,-2960,-13492,-9332,1598,-113,-156,13348,10912,-6068,-285,433,-390
1775273016.5345812,-2912,-13516,-9452,2519,-220,-774,13536,10956,-6068,-340,204,-1474
1775273016.5354397,-2592,-13616,-9460,3439,-17,-1323,13096,10920,-6816,-446,-297,-2472
1775273016.5368078,-2176,-13664,-9424,4400,796,-1464,12636,10740,-7500,-1016,-1238,-3090
1775273016.5939538,-1772,-13660,-8648,5444,972,-1271,11672,10816,-7700,-1808,-1540,-3745
1775273016.594613,-1260,-13332,-8060,6379,2003,-1129,10748,10624,-7624,-2543,-2671,-4161
1775273016.595939,-1040,-13188,-6720,7165,1899,-773,8944,10668,-6860,-3260,-2629,-4633
1775273016.6539218,-1484,-12724,-6036,6297,-2313,769,4748,10660,-5040,-3580,2019,-4162
1775273016.6548412,-172,-12220,-5084,2295,-5771,2887,-836,10888,-3112,-2573,6442,-665
1775273016.7138484,1072,-11456,-3800,-4701,-4082,5272,-7148,10116,-2812,-588,6493,6873
1775273016.7146075,3180,-9212,-1456,-14100,29,9338,-15352,6884,-3056,1225,5055,17875
1775273016.7157538,3644,-5792,-2408,-26610,5314,15601,-18360,160,-2692,3114,3796,32767
1775273016.7740426,3976,-2612,-4832,-32768,8462,20554,-5684,-7260,-4260,4773,3746,32767
1775273016.7747183,1816,-3656,-9844,-32768,11822,21475,10280,-8332,-6832,5169,1063,32767
1775273016.776182,-60,-8984,-16988,-32768,20645,16754,26392,-3284,-12464,5886,-9300,32767
1775273016.8339436,-2564,-9108,-22228,-25335,24181,11907,32767,-2356,-22332,3105,-15322,32767
1775273016.8358095,-2988,-7540,-24676,-12318,13305,14375,32767,-2744,-25340,-5346,-6533,22192
1775273016.8939793,-3672,-4968,-27408,-2657,11880,16853,32767,-4432,-21112,-12683,-6541,15444
1775273016.8947423,-5752,-4460,-30564,6330,11288,17224,32767,-5076,-20572,-18214,-7306,8108
1775273016.8961015,-6756,-7180,-31916,18389,6876,16789,32767,-3836,-21668,-24586,-5316,-3120
1775273016.9540708,-7024,-5628,-30164,32333,5115,15239,32767,-7916,-19724,-31283,-6622,-15723
1775273016.9552746,-8448,-3388,-24696,32767,-1455,14826,32767,-11576,-12616,-32768,-2509,-28142
1775273017.0139523,-8652,92,-19592,32767,-10957,12330,29396,-14972,-432,-32768,5279,-32768
1775273017.0146194,-8472,-1044,-14332,32767,-16085,6905,17408,-11268,7848,-32768,8248,-32768
1775273017.0160413,-7876,-5600,-7948,32767,-14568,1412,7476,-3020,10892,-27185,6238,-32768
1775273017.0739698,-7116,-7996,-2064,32767,-12179,-2670,860,2968,11532,-19958,4250,-32768
1775273017.0747514,-5724,-9948,2216,32767,-11902,-4869,-4216,7764,11060,-13701,4905,-31509
1775273017.0759842,-3396,-10088,4168,25335,-9415,-6483,-7576,9672,10072,-8062,3263,-25213
1775273017.13415,-1764,-11144,5108,16842,-6069,-7278,-10044,11924,7432,-2803,1541,-17902
1775273017.1351671,-740,-11508,5312,9284,-2143,-6629,-9976,12244,3920,647,-504,-10437
1775273017.1940613,-696,-12316,5120,3737,-1107,-4396,-8256,12952,1184,1960,95,-4471
1775273017.1946692,-660,-12740,3740,-515,-1722,-1699,-5900,12980,-376,2356,2024,157
1775273017.195975,-1308,-13404,2584,-3476,-2641,1016,-3160,13116,-2016,1975,4059,3786
1775273017.2538826,-1540,-13616,1032,-4998,-4137,3458,884,12912,-2536,1049,6321,5874
1775273017.2550628,-2820,-14192,-952,-5398,-3275,4482,5296,13296,-2108,490,5762,6905
1775273017.3138626,-4052,-14340,-1536,-4662,-1177,3807,8004,13760,-1072,326,3437,6546
1775273017.3145375,-4660,-15124,-2760,-4052,-1003,3080,9464,14344,-1196,532,3021,5701
1775273017.315835,-5320,-15520,-3396,-3134,-302,2250,10404,14656,-1276,580,1999,4685
1775273017.3738422,-5344,-15332,-3340,-2043,-789,1550,10844,14460,-1600,540,2040,3297
1775273017.3748286,-5396,-15476,-3248,-1133,98,710,9876,14900,-864,608,904,2412
1775273017.433938,-5744,-15724,-3688,-1066,52,201,9828,14880,-1024,988,833,1996
1775273017.4345317,-5612,-15492,-3580,-545,-740,-48,10300,14548,-1544,942,1467,1250
1775273017.4357526,-5308,-15376,-3880,65,-214,-422,10000,14392,-1708,809,691,678
1775273017.493709,-5256,-15404,-3456,761,90,-694,9600,14480,-1820,628,289,90
1775273017.494331,-4856,-15268,-3136,1314,-1510,-619,9040,14296,-1868,383,1762,-750
1775273017.4957385,-4548,-15148,-3224,1528,-1134,-660,7928,14236,-1932,249,1337,-838
1775273017.5538175,-4508,-15136,-2676,1358,-972,-516,7492,14316,-1592,255,1208,-580
1775273017.5544982,-4288,-15044,-2784,1126,-1058,-437,7212,14192,-1796,307,1370,-362
1775273017.555742,-4248,-14956,-2848,1091,605,-487,7724,14008,-2188,207,-270,31
1775273017.6137102,-4400,-14836,-2472,1402,-739,-176,7812,14028,-2032,-110,1129,-393
1775273017.6147978,-4100,-14888,-2624,1468,-946,0,7024,14172,-1736,-245,1258,-354
1775273017.6737862,-4508,-14788,-2576,1182,447,-16,7308,14148,-1544,-205,4,196
1775273017.6744037,-4612,-15000,-2548,979,-997,342,7380,14292,-1364,-227,1567,171
1775273017.675471,-4404,-14992,-2828,704,705,15,7736,14188,-1308,26,-213,696
1775273017.7333965,-4984,-14900,-2500,690,194,-22,8000,14356,-1244,121,392,544
1775273017.734109,-4748,-14972,-2688,651,-530,96,7900,14384,-1352,98,1005,395
1775273017.735479,-4868,-14796,-2796,744,487,-197,8324,14196,-1252,219,-4,495
1775273017.7937455,-4868,-14848,-2648,785,-551,-113,8080,14180,-1312,180,1039,184
1775273017.7946901,-4716,-15028,-3028,626,375,-284,7812,14324,-1232,351,95,501
1775273017.8539722,-4832,-15168,-2580,365,57,-317,8032,14212,-1320,525,479,574
1775273017.8545594,-4572,-14988,-3004,426,-313,-301,8364,14116,-1904,528,774,463
1775273017.8560221,-4552,-14880,-3220,725,756,-447,8568,13892,-2300,339,-316,417
1775273017.9139268,-4648,-14844,-3112,1204,-790,-13,8328,14000,-2300,-112,1209,-139
