timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775274553.085366,-12684,1812,9600,1196,-62,-124,1492,2564,16324,-144,451,5
1775274553.0857537,-13128,1608,9632,1205,-295,-86,1644,2592,16140,-111,565,-19
1775274553.0868254,-13448,1736,9500,1214,-217,-126,1808,2688,16664,2,483,-65
1775274553.087926,-13560,1800,9672,1190,127,-192,1728,2580,16500,18,241,23
1775274553.089005,-13076,1680,9536,1159,396,-239,1616,2724,16480,16,61,46
1775274553.1451955,-12884,1500,9584,1197,228,-206,1500,2620,16364,-34,197,37
1775274553.2054343,-13028,1704,9660,1195,14,-175,1576,2596,16368,-51,343,17
1775274553.2654884,-13144,1748,9612,1134,38,-182,1576,2644,16432,-28,323,25
1775274553.2661126,-13176,1672,9680,1185,132,-202,1704,2584,16404,-20,263,35
1775274553.2669878,-13056,1600,9740,1169,171,-209,1684,2704,16452,-11,242,38
1775274553.267965,-13016,1684,9596,1183,119,-192,1604,2668,16372,-41,275,30
1775274553.268965,-13128,1664,9700,1175,85,-197,1616,2596,16372,-29,288,18
1775274553.2699556,-13160,1620,9540,1177,118,-181,1644,2640,16316,-27,293,41
1775274553.2712553,-13140,1648,9704,1169,116,-174,1676,2652,16364,-21,298,20
1775274553.3253877,-13244,1656,9628,1159,74,-199,1580,2592,16408,-63,283,18
1775274553.32627,-13148,1708,9640,1173,90,-189,1632,2624,16400,-51,298,10
1775274553.3852773,-13104,1676,9716,1175,118,-212,1648,2660,16440,-37,271,33
1775274553.3859718,-13096,1532,9580,1200,138,-220,1656,2664,16388,-16,252,10
1775274553.3871386,-12928,1712,9568,1183,144,-186,1632,2664,16404,-12,249,-9
1775274553.4451978,-13044,1648,9600,1178,119,-175,1608,2676,16376,-26,243,26
1775274553.4459891,-13080,1668,9628,1199,84,-201,1652,2628,16360,-50,316,20
1775274553.4471335,-13080,1628,9652,1194,59,-199,1592,2660,16292,-62,292,42
1775274553.5054255,-13120,1684,9684,1199,96,-193,1616,2648,16308,-35,283,20
1775274553.5059123,-13052,1728,9516,1201,132,-181,1644,2692,16392,-31,270,-6
1775274553.5071597,-13128,1652,9616,1177,109,-193,1588,2620,16376,-27,271,15
1775274553.5656347,-13096,1628,9580,1176,106,-212,1572,2660,16388,-39,278,18
1775274553.625445,-13048,1660,9560,1161,89,-198,1580,2648,16400,-40,283,-2
1775274553.6260502,-13140,1608,9704,1196,102,-178,1604,2676,16348,-34,270,50
1775274553.6269135,-13136,1672,9588,1196,103,-180,1592,2640,16372,-37,278,34
1775274553.6279433,-13052,1720,9604,1169,116,-193,1656,2676,16380,-12,278,24
1775274553.6854155,-13084,1644,9604,1173,116,-205,1680,2668,16380,-27,273,-7
1775274553.6858337,-13108,1568,9692,1228,102,-206,1636,2688,16384,-30,282,43
1775274553.6870055,-13148,1756,9444,1188,113,-195,1640,2648,16348,-32,271,16
1775274553.7454793,-13188,1700,9652,1177,172,-176,1596,2648,16392,-31,274,2
1775274553.746089,-13096,1748,9608,1164,146,-196,1560,2660,16336,-28,266,20
1775274553.7471402,-13136,1620,9540,1176,91,-199,1644,2660,16372,-24,274,27
1775274553.8054779,-13072,1724,9548,1198,98,-205,1688,2620,16384,-40,288,18
1775274553.8062127,-13052,1680,9656,1200,91,-179,1632,2648,16412,-8,284,28
1775274553.865399,-13172,1728,9696,1205,95,-202,1616,2676,16344,-20,284,32
1775274553.8659265,-13056,1536,9500,1175,124,-212,1636,2636,16364,-42,285,33
1775274553.8673196,-13140,1668,9580,1175,134,-192,1612,2664,16452,-45,275,20
1775274553.9256172,-13116,1668,9680,1181,96,-169,1580,2608,16360,-57,314,4
1775274553.9853778,-13136,1764,9580,1180,96,-181,1640,2588,16392,-12,290,14
1775274553.9861183,-13072,1672,9708,1165,122,-196,1604,2640,16404,-23,299,2
1775274553.9869087,-13064,1712,9564,1187,107,-196,1640,2664,16384,-33,283,23
1775274553.9879785,-13044,1692,9564,1193,110,-190,1584,2660,16364,-41,271,18
1775274553.989097,-13080,1740,9612,1174,106,-227,1600,2572,16344,-28,299,15
1775274554.0452642,-12976,1648,9652,1180,97,-195,1628,2624,16400,-45,299,16
1775274554.046205,-13116,1740,9652,1199,125,-169,1584,2604,16356,-35,271,22
1775274554.1053698,-13104,1644,9720,1183,136,-185,1624,2660,16416,-26,298,32
1775274554.1059916,-13112,1632,9556,1184,111,-194,1580,2620,16416,-36,280,40
1775274554.107042,-12952,1656,9500,1178,129,-179,1640,2652,16420,-28,275,16
1775274554.1654022,-13040,1644,9604,1184,110,-185,1556,2704,16388,-32,283,4
1775274554.1658924,-13056,1600,9584,1196,99,-186,1624,2692,16352,-21,286,38
1775274554.167065,-13080,1692,9704,1163,109,-193,1672,2728,16392,-42,301,41
1775274554.2253523,-13084,1680,9672,1177,117,-198,1624,2660,16396,-25,300,34
1775274554.2262046,-13028,1772,9424,1190,121,-191,1616,2628,16368,-43,275,27
1775274554.2854679,-13064,1616,9680,1195,105,-179,1600,2620,16372,-30,288,19
1775274554.3452723,-13076,1668,9540,1193,87,-188,1692,2728,16172,-26,274,5
1775274554.3460562,-13140,1780,9876,1243,-221,-111,1604,2604,15984,-174,565,-38
1775274554.3468409,-13824,1700,9788,1171,-257,-133,1816,2628,16368,-154,622,20
1775274554.3478842,-13568,1768,9428,1164,267,-234,1760,2704,16340,-31,243,39
1775274554.3490572,-12996,1608,9616,1182,365,-246,1676,2676,16348,5,101,36
