timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775271957.9241068,-7828,-13804,904,1358,296,-24,6752,14424,3120,-288,134,5
1775271957.9244955,-7956,-13832,760,1334,512,24,6836,14488,3252,-313,-62,101
1775271957.9258654,-8192,-13824,876,1260,446,115,6864,14532,3272,-362,38,204
1775271957.983644,-8188,-13644,840,1332,42,335,6940,14372,3348,-544,508,188
1775271957.9847064,-8476,-13480,876,1386,-63,419,7144,14364,3700,-615,611,137
1775271958.043947,-8276,-13600,920,1392,111,216,7268,14456,4064,-481,400,80
1775271958.0445278,-8408,-13496,868,1320,80,-79,7148,14492,4248,-211,320,-30
1775271958.045377,-8128,-13496,1028,1093,302,-518,7044,14484,4432,252,51,-41
1775271958.0465388,-8236,-13432,968,827,521,-981,6752,14360,4508,796,-221,19
1775271958.1043334,-8252,-13644,1232,407,672,-1448,6812,14684,4672,1403,-329,107
1775271958.1638591,-8136,-13708,1136,-76,314,-2235,7152,14748,5148,2346,-103,-42
1775271958.1644485,-7708,-13220,1268,-518,835,-3422,7380,14432,5248,3484,-954,-191
1775271958.1655014,-8176,-13644,852,-891,2465,-4767,6996,14612,4984,4637,-2655,-160
1775271958.166715,-7752,-13796,1020,-1490,2223,-5484,6540,14696,4548,5585,-2558,-157
1775271958.2236755,-7424,-13968,544,-2185,3124,-6272,6176,14648,4024,6530,-3499,214
1775271958.224742,-7088,-14384,672,-2945,3528,-6667,6100,14840,3352,7239,-3820,750
1775271958.2838495,-6252,-14836,68,-3542,5017,-7010,5736,14868,1464,7650,-5471,1520
1775271958.2846162,-5576,-15592,-1280,-3861,5394,-6366,5632,14876,-1084,7276,-5733,2190
1775271958.285838,-4972,-15456,-1852,-3511,4724,-4721,6540,14220,-3708,5837,-4501,2582
1775271958.3440673,-4164,-15304,-2704,-1934,20,-1593,7924,13396,-7304,2809,396,1741
1775271958.4040349,-3096,-14576,-3464,1431,-3497,2180,9084,11876,-10052,-1860,4151,105
1775271958.4047246,-3600,-13960,-3652,5631,-4772,6002,9468,11164,-10232,-7210,5662,-1520
1775271958.405697,-4676,-13584,-2564,9713,-10461,10397,8744,10812,-8172,-12578,11597,-3974
1775271958.407076,-5028,-12912,-148,13611,-21737,15388,5252,10336,-5588,-17681,22860,-7341
1775271958.463996,-5008,-11940,1068,15553,-17128,17466,2188,9860,-892,-20892,18597,-6524
1775271958.523761,-7488,-10920,2856,15008,-12730,18692,892,10048,4412,-21927,14825,-4236
1775271958.5245132,-8968,-9276,5612,13931,-21043,21252,-892,9188,7472,-22600,23565,-4308
1775271958.5254195,-8572,-7832,7588,13331,-27582,23768,-3740,7840,8152,-23559,30181,-4109
1775271958.526797,-8064,-6220,8236,13787,-19374,25664,-4564,5408,8028,-26207,22785,-1453
