timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775272377.8179948,-5996,-12976,-6180,996,1241,-640,11336,11860,-1548,317,-939,260
1775272377.8191335,-5348,-12940,-6540,848,2934,-1240,11028,11616,-2168,689,-2687,510
1775272377.8780313,-4788,-13092,-6544,895,3772,-1227,10584,11448,-3500,539,-3532,706
1775272377.9380317,-4148,-13040,-6688,1178,7428,-1081,10132,11192,-4692,-76,-7112,1564
1775272377.9389353,-3880,-12872,-6640,1659,13030,-800,9876,10884,-5644,-1181,-12576,2883
1775272377.9398687,-6096,-11984,-7208,2417,19454,980,9040,9404,-7096,-3752,-18334,4996
1775272377.941182,-11156,-12060,-7116,2444,12366,6981,12232,10084,-3296,-7751,-8696,6091
1775272377.942425,-19268,-11544,-4316,3558,-11697,10912,21712,13608,14112,-8898,16606,410
1775272377.9981387,-26480,-8300,-2172,2059,-32768,2988,32344,17620,32767,-1924,32767,-7815
1775272377.999105,-28536,-8388,2128,-7949,-32768,-16259,20932,17688,32767,22053,31410,-10751
1775272378.0581508,-22628,-3624,2504,-20434,-21040,-32768,15016,5096,32767,32767,16387,-7091
1775272378.0589948,-13508,-2468,-3212,-29576,-17289,-32768,13668,-6312,25212,32767,12261,-4549
1775272378.0602715,2484,-3516,-13456,-31904,-8553,-32768,19572,-16324,-6404,32767,-2561,-3976
1775272378.1181016,28380,-8724,-24624,-17057,25256,-32768,8864,-19472,-32768,32767,-32421,-7594
1775272378.1192694,32767,-7736,-27492,575,19353,-22382,-24432,-19272,-32768,13905,-21152,-6092
1775272378.178206,32767,-8568,-26328,10860,8213,20459,-32768,-19172,-32768,-23909,-3907,6250
1775272378.1790617,32767,-1832,-23792,18219,7627,32767,-18632,-30460,-32768,-32768,2411,17533
1775272378.1804287,22324,6412,-18412,24996,7013,32767,-1180,-32768,-32768,-32768,5622,21602
1775272378.2379713,-10060,13212,-9380,28214,-2336,32767,6916,-32768,3052,-32768,21510,16034
1775272378.238713,-32768,12112,6164,26197,-15437,32767,28900,-18676,32767,-32768,26343,15308
1775272378.2400467,-32768,10624,18792,10254,-7555,29824,32767,16164,32767,-28318,11609,7020
1775272378.3582797,-32768,13536,20940,-12029,12818,-20735,32760,11980,32767,24078,-14257,2456
1775272378.35889,-32768,12748,12348,-26241,-3491,-32768,18888,-7892,32767,32767,-414,-3565
1775272378.360065,-24696,8320,648,-32768,-31623,-32768,15176,-18956,32767,32767,26717,-4244
1775272378.3611448,3572,1048,-17744,-32768,-14435,-32768,19596,-25904,-3668,32767,3140,1539
1775272378.3625891,29052,-6852,-32768,-30940,24224,-32768,12712,-28340,-32768,32767,-29600,1703
1775272378.4181988,32767,-16276,-32768,-11280,16992,-25068,-9760,-15804,-32768,23701,-17473,996
1775272378.4781663,32767,-15008,-32768,6421,3803,14883,-12884,-13572,-32768,-15938,-373,5288
1775272378.479222,32767,-8056,-30760,21408,1541,32767,508,-21448,-32768,-32768,5393,7559
1775272378.5383477,15664,2260,-22240,32767,9817,32767,11568,-32156,-32768,-32768,-1876,8061
1775272378.5389054,-17728,12792,-10040,32767,15675,32767,17804,-32768,12572,-32768,-3945,11191
1775272378.5400057,-32768,8932,6856,32767,-9748,32767,32767,-8696,32767,-32768,16754,1797
1775272378.5412164,-32768,8672,22560,13289,-18468,13834,26032,22504,32767,-15897,18590,-7206
1775272378.5425491,-32768,14496,28664,-16416,-4441,-27952,6800,6648,32767,32767,1558,-2404
1775272378.5982707,-32768,14472,18000,-32768,-19346,-32768,2160,-12356,32767,32767,16818,1802
1775272378.5993798,-19284,11576,2268,-32768,-32768,-32768,9892,-25232,32767,32767,32767,6572
1775272378.6581407,3380,5888,-20156,-32768,-31908,-32768,25364,-32768,-444,32767,25805,11779
1775272378.6589026,24820,-908,-32768,-32768,22005,-32768,25908,-32768,-32768,32767,-25995,12194
1775272378.66056,32767,-12924,-32768,-19921,11185,-23976,11484,-23436,-32768,27279,-11579,6679
1775272378.717929,32767,-14156,-32768,6952,-5818,15390,14632,-16916,-32768,-15232,8929,2385
1775272378.7186701,32767,-7996,-32768,29513,1869,32767,19524,-23708,-32768,-32768,2187,-979
1775272378.7203686,17000,3340,-27232,32767,19131,32767,20724,-32768,-32768,-32768,-14549,-3217
1775272378.778225,-7668,17432,-11924,32767,23660,32767,15416,-32768,-3684,-32768,-17320,-2261
1775272378.7791953,-32768,20220,3576,32767,11911,32767,22552,-32768,32767,-32768,-2874,390
1775272378.8383183,-32768,9888,20464,30369,-10952,32767,22596,9448,32767,-32768,14132,-5081
1775272378.898085,-32768,12328,30096,-2204,-9362,-5458,6004,17656,32767,8473,8458,-2550
1775272378.899146,-32768,13648,24568,-24794,-4339,-30723,3572,-1412,32767,32767,2699,2771
1775272378.9005883,-26692,6456,11988,-32768,-22850,-32768,8692,-8608,32767,32767,20767,2843
1775272378.901699,-3684,-404,-8380,-32768,-20463,-32768,14792,-15940,13576,32767,15325,5507
1775272378.9581606,18408,-4920,-28576,-32768,11739,-32768,18632,-26164,-32768,32767,-11360,7832
1775272378.958755,32767,-13260,-32768,-21914,25039,-30398,2468,-18616,-32768,32645,-25900,8790
1775272378.9600344,32767,-16712,-32768,-1611,3591,8858,5196,-10540,-32768,-6619,110,8218
1775272379.018263,30540,-12036,-32768,17565,613,32217,17476,-12584,-32768,-32768,4609,5055
1775272379.0189874,10968,-4660,-22000,31936,5993,32767,19572,-17220,-32768,-32768,-1018,277
1775272379.0211895,-12468,5684,-9408,32767,18336,32767,14460,-23976,376,-32768,-8255,872
1775272379.0800164,-32768,9944,2884,32767,8888,32767,24556,-12880,32767,-32768,-3450,2324
1775272379.080326,-32768,788,15088,18754,-5991,20184,30892,20768,32767,-25942,7361,-4549
1775272379.1380796,-32768,5388,19816,-4545,-5228,-18076,16924,16908,32767,19383,2476,-6742
1775272379.1390254,-32768,7700,15744,-22380,-12476,-32768,5864,-992,32767,32767,8883,-4680
1775272379.140475,-20492,4624,5256,-32768,-29365,-32768,6432,-10868,32767,32767,26019,-1255
1775272379.1980784,328,1100,-11976,-32768,-21181,-32768,16628,-19756,6712,32767,13893,3723
1775272379.199443,20536,-3204,-29348,-32768,19863,-32768,6964,-29584,-32768,32767,-19861,7307
1775272379.2579837,32767,-10696,-32768,-19127,21589,-31458,-3148,-20052,-32768,32451,-22946,4531
