timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775248514.6553667,-4368,-10200,13448,1391,386,-313,-5452,13384,8192,-96,-50,-159
1775248514.6556108,-4196,-10268,13368,1201,488,-371,-5548,13428,8248,56,-128,-16
1775248514.656942,-4048,-10412,13200,923,112,-381,-5820,13340,7940,260,295,114
1775248514.7153738,-4064,-10292,13320,669,-15,-208,-5796,13292,7812,290,498,378
1775248514.7159896,-4044,-10280,13212,545,149,-190,-5280,13288,7876,324,369,523
1775248514.7169669,-4148,-10324,13140,587,-53,-311,-5092,13260,7792,424,508,363
1775248514.7754877,-4148,-10308,12992,644,236,-337,-5244,13264,7536,393,212,404
1775248514.7758029,-4096,-10320,13048,628,127,-119,-5288,13248,7312,221,360,489
1775248514.8352535,-4292,-10184,12976,725,33,104,-5012,13228,7484,-7,486,499
1775248514.8358524,-4516,-10352,12788,847,342,87,-4636,13360,7960,-78,188,501
1775248514.8369536,-4492,-10368,12548,867,517,-138,-4364,13336,8056,66,-41,377
1775248514.8954535,-4568,-10404,12696,1014,621,-309,-4336,13284,7620,104,-221,199
1775248514.8960505,-4720,-10368,12916,1210,1872,-264,-4460,13224,7640,-148,-1532,409
1775248514.897273,-4996,-10372,12500,1446,3719,-516,-3956,13276,8212,-317,-3353,612
1775248514.9555883,-4684,-10552,12788,1640,6760,-1158,-4508,13700,8292,-230,-6482,918
1775248514.9561853,-4464,-10476,12800,1188,7977,-1322,-5816,13652,8176,87,-7538,1537
1775248515.0152814,-4776,-10568,12544,180,6762,-747,-6356,13584,8028,313,-6054,2347
1775248515.015856,-6448,-9904,11648,-910,8031,58,-4776,12804,8276,236,-6934,3990
1775248515.0170414,-8676,-6284,6596,-1727,8910,432,3232,8844,10392,334,-7502,5069
1775248515.075401,-11080,-3116,-1888,2697,-4169,-3347,30192,4456,8716,2399,3954,-5043
1775248515.0760949,-17828,-1460,-4376,21763,-19460,-13029,32767,-1268,3460,-84,12590,-29632
1775248515.1354537,-20152,7932,-2692,32767,-7759,-25678,32767,-18960,8876,-6736,-6347,-32768
1775248515.136146,-15028,13600,4476,32767,19127,-31277,18668,-32768,13900,-17450,-32768,-32768
1775248515.1373725,-6932,15288,14240,32767,20514,-26638,-12992,-32768,27748,-23906,-32768,-32768
1775248515.1952398,-2460,14064,25632,32767,6759,-21494,-32768,-23756,32767,-20746,-21551,-32768
1775248515.1960123,1044,15128,29672,32767,806,-18970,-32768,-17824,32088,-14294,-13072,-32768
1775248515.19748,2772,16604,28592,32767,-2560,-19096,-31964,-16796,26136,-8195,-8268,-32768
1775248515.2552657,1840,15140,29296,32767,3706,-17674,-32768,-14072,20712,-6564,-13141,-32768
1775248515.2561593,2572,11408,27156,28315,508,-13170,-32768,-8668,18196,-5759,-7406,-28642
1775248515.315551,1388,7284,23692,22132,-5743,-8858,-25800,-3856,15068,-4856,382,-23028
