timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775274196.9477565,124,-15152,-6344,54,679,-709,8016,12608,-7756,1011,-168,820
1775274196.9483202,128,-15304,-6580,439,455,-312,8244,12700,-8556,430,83,661
1775274196.949558,108,-15396,-6724,1003,-69,325,8448,12696,-8680,-296,615,373
1775274197.008561,-176,-15548,-6856,1520,108,702,8972,12908,-8160,-911,442,242
1775274197.008881,-376,-15364,-6936,2194,113,674,9736,12788,-7792,-1280,272,-375
1775274197.0100427,-500,-15188,-6956,2944,772,317,9928,12664,-7416,-1560,-549,-995
1775274197.0681982,-788,-15036,-6908,3808,1255,-64,10008,12604,-7260,-1757,-1269,-1742
1775274197.1280928,-1216,-15196,-6464,4815,1209,-507,10320,12852,-7128,-1844,-1438,-2891
1775274197.1286454,16,-14520,-6708,5878,1999,-1228,10024,12168,-7232,-2125,-2572,-3850
1775274197.1296098,1280,-14652,-6472,6650,5159,-2593,8696,12204,-7128,-1898,-6186,-4292
1775274197.1309073,3268,-14036,-5480,6807,9244,-4198,5324,11328,-7880,-1084,-10510,-4173
1775274197.1879027,5580,-11596,-2276,4998,9766,-3878,-4212,9436,-7744,-516,-10303,-2303
1775274197.1888967,7688,-9904,1476,-2492,4033,1361,-20220,8288,-6844,169,-2023,5177
1775274197.247782,9412,-6704,3836,-16620,-3168,11996,-32768,3788,-5516,914,9767,20550
1775274197.2485511,10976,-1592,3116,-32768,4914,21706,-32768,-6336,-2404,2536,6671,32767
1775274197.2507703,8732,3180,1028,-32768,14244,26841,-20180,-17588,-1172,5659,1366,32767
1775274197.3077514,3808,2256,-4164,-32768,13932,30326,-5756,-21740,-2356,7181,4187,32767
1775274197.3086507,-708,-572,-12864,-32768,7932,32522,18112,-21716,-3760,7052,10418,32767
1775274197.3097346,-5040,-4980,-23108,-32768,22138,22925,32767,-13516,-7756,8395,-7165,32767
1775274197.3679445,-10068,-3748,-27336,-32768,13742,15517,32767,-9596,-12784,7253,-2276,32767
1775274197.3690634,-10580,-2484,-29076,-21145,4058,11577,32767,-6188,-11192,3148,3183,25189
1775274197.4276884,-10752,1008,-28800,-11302,4575,7151,32767,-7528,-9260,827,-152,15063
1775274197.42845,-10164,2216,-26548,-2962,2142,4167,32767,-7176,-7492,-1379,95,6084
1775274197.4296393,-8432,756,-23392,2231,-127,1673,30788,-4680,-5012,-2123,756,36
1775274197.4878974,-7012,-1116,-19816,4300,-1082,-603,24116,-2200,-3696,-1426,810,-3065
1775274197.4889276,-5480,-2396,-17700,4590,-1503,-2480,20356,-596,-2708,44,655,-4394
