timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775248334.2966487,2316,-8844,15100,520,317,-49,-10364,11304,4132,210,233,650
1775248334.2972922,2324,-8784,14780,662,359,-176,-10060,11248,3892,205,144,474
1775248334.2985096,2188,-8864,14432,938,340,-321,-9828,11220,3688,175,64,194
1775248334.3566005,2252,-8796,14576,1138,383,-358,-9876,11100,3600,99,-27,24
1775248334.4169607,2156,-9008,14184,1292,385,-411,-9732,11220,3484,23,-70,-132
1775248334.4171886,2116,-8716,14080,1587,694,-393,-9464,11040,3384,-180,-425,-281
1775248334.4182403,2188,-8768,14080,2079,1074,-452,-9248,10956,3300,-503,-895,-596
1775248334.4194639,2052,-8712,14348,2639,1452,-501,-9320,11024,3596,-800,-1349,-982
1775248334.4766579,2072,-8788,14744,3165,1798,-652,-9492,11100,3872,-1040,-1791,-1413
1775248334.4773624,2052,-8644,15104,3540,1900,-738,-10568,11084,4132,-1184,-1959,-1717
1775248334.478673,2100,-8708,15948,3571,2430,-539,-11832,11372,4300,-1462,-2450,-1466
1775248334.5369246,1672,-8852,16868,3132,3915,-82,-13332,11852,5708,-1658,-3669,-443
1775248334.5376222,1132,-8868,17804,1758,5001,94,-14112,12348,7804,-1086,-4362,1044
1775248334.5967202,460,-8496,18396,-270,4513,-211,-14076,12636,9760,415,-3600,2393
1775248334.5973508,-716,-8164,18420,-2330,4178,-1130,-12652,12544,10984,2408,-3119,3449
1775248334.5986798,-2224,-7300,17564,-3928,7386,-3305,-11000,11712,12780,4745,-6525,4422
1775248334.6568248,-3000,-7664,16564,-5047,9893,-5809,-7740,11756,12876,7202,-9295,4609
1775248334.6573083,-3144,-6368,14172,-5024,9241,-8944,-3112,9808,11384,9685,-9334,2575
1775248334.6587527,-2656,-5964,10924,-2444,8175,-11906,1616,7764,6016,10551,-9760,-1378
1775248334.7169647,-1504,-6336,8488,3339,8011,-13483,4748,6548,148,8390,-10964,-7006
1775248334.7178774,-28,-5688,6380,10912,8131,-13899,6128,4488,-3260,4200,-12324,-13334
1775248334.7766988,924,-5348,6356,19210,8382,-13629,5060,2848,-4684,-999,-13941,-19769
1775248334.7774541,2692,-4660,8232,26173,6804,-12104,-1108,1456,-3764,-6121,-13120,-24936
1775248334.7787926,3824,-3180,10548,29650,2580,-9034,-7992,56,-1620,-10181,-8908,-27075
1775248334.8367283,4308,-2292,13804,31259,669,-6051,-12908,-328,736,-13287,-6785,-27145
1775248334.8377984,5492,-1196,16744,31215,65,-3516,-16992,-232,3604,-15223,-5586,-25932
1775248334.8967261,5632,56,19592,29478,234,-914,-21996,-300,5768,-16218,-4953,-22990
1775248334.8973835,6072,1880,20332,27083,-40,1168,-21740,-1060,7832,-16421,-3714,-20033
1775248334.8988154,5924,2704,22076,25350,-725,2693,-23420,-1496,7164,-16612,-2467,-17989
1775248334.9566498,6136,3920,22864,22827,703,5380,-25900,-1892,8736,-17414,-2752,-14044
1775248334.9574053,5888,4620,22164,19892,-1974,7657,-24200,-2128,9012,-17145,819,-11203
1775248334.9585524,5792,4060,22568,18055,-488,9635,-24812,-1880,7460,-17886,98,-8228
1775248335.0166605,6908,4112,22172,15055,-2711,13394,-27156,-1892,6936,-18905,3877,-4362
1775248335.0177107,6492,4196,21400,12067,-6329,17458,-25556,-2508,5760,-19931,8537,-696
1775248335.0768073,5340,4756,19556,10616,-5351,19715,-19452,-3048,8076,-20989,8274,1955
1775248335.0773392,4784,5236,18912,10129,-2832,19460,-17652,-3420,8280,-20748,5883,2849
1775248335.0787294,5060,6332,19988,9165,-1967,20619,-21220,-4668,8584,-21203,5628,4514
1775248335.1370904,4868,7292,21484,6807,-1869,22044,-23132,-4712,11852,-20925,6219,7243
1775248335.138016,4560,7896,22448,3193,-332,21538,-22948,-4260,15884,-18464,5274,10272
