timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775248096.338727,-13552,-1276,8596,1300,136,-412,3164,5268,15048,86,169,-225
1775248096.3393366,-13604,-1180,8608,1350,134,-369,3088,5260,15328,-14,231,-219
1775248096.3405783,-13484,-1256,8680,1318,-16,-340,2908,5212,15272,-19,344,-228
1775248096.398806,-13516,-1224,8724,1274,-189,-202,2864,5160,15152,-70,561,-175
1775248096.3995783,-13532,-1196,8740,1291,-159,-80,3004,5288,15380,-159,527,-106
1775248096.458716,-13728,-1168,8792,1320,-32,-183,3176,5332,15804,-100,391,-165
1775248096.4591942,-13748,-1020,8948,1335,64,-338,3036,5172,15768,-35,224,-215
1775248096.460526,-13924,-1036,8784,1299,27,-299,2904,5128,15656,-37,332,-177
1775248096.5188527,-13812,-1132,8688,1269,-282,-222,3068,5180,15688,-15,645,-202
1775248096.519449,-13792,-1132,8840,1313,74,-292,3056,5188,15696,-31,252,-138
1775248096.5205073,-13756,-1124,8896,1344,321,-362,2960,5256,15856,-61,8,-142
1775248096.5788755,-13784,-1112,8972,1312,271,-387,2840,5256,15668,4,85,-170
1775248096.5798075,-13464,-1216,9012,1279,203,-332,2740,5248,15404,3,145,-113
1775248096.638753,-13380,-1208,8868,1239,216,-186,2648,5196,15180,-85,183,-16
1775248096.6395805,-13480,-1124,8800,1216,335,-87,2824,5220,15384,-171,68,57
1775248096.6985347,-13640,-1136,8748,1207,541,-144,2868,5204,15476,-156,-120,153
1775248096.6992512,-13796,-940,8652,1140,420,-21,2936,4832,15408,-182,33,229
1775248096.7002387,-13596,-776,8300,1094,589,231,2712,4616,15108,-387,-77,457
1775248096.7017221,-13916,-224,7756,812,1300,661,2868,3996,15028,-656,-586,1113
1775248096.7588036,-14384,520,6500,391,148,1370,4068,3220,15040,-820,804,1522
1775248096.81865,-16640,848,4664,281,9,1610,8744,2844,17040,-863,822,1671
1775248096.81928,-20052,1956,1264,1579,1282,-1052,19848,2036,20084,422,-1212,-668
1775248096.8204079,-23564,2548,-4276,7905,-2250,-8659,32767,676,21492,3198,-433,-11190
1775248096.8216517,-26028,3316,-7420,21314,-15634,-20329,32767,-3968,20016,5628,7889,-32130
1775248096.879151,-24952,8804,-5616,32767,-5769,-32768,32767,-17380,15808,5069,-8686,-32768
1775248096.879751,-22368,10280,-1548,32767,18323,-32768,28420,-26512,14804,-4105,-32768,-32768
1775248096.8808362,-17164,12168,300,32767,24237,-32768,8288,-28084,24852,-12205,-32768,-32768
1775248096.9386723,-12652,11040,7072,32767,2557,-29257,-5500,-22780,27456,-11048,-18127,-32768
1775248096.9396982,-9600,11168,12608,32767,-6725,-27027,-11344,-19764,22812,-7711,-7912,-32768
1775248096.999169,-8484,11796,19216,32767,1023,-24937,-17660,-17924,20752,-8322,-14895,-32768
1775248096.9999673,-6008,12032,22008,32767,9788,-19898,-26072,-13924,24936,-10033,-20725,-32768
1775248097.001055,-5640,10040,24028,32707,3742,-14124,-31824,-7268,25948,-7826,-11658,-31693
1775248097.0588923,-5404,6528,24328,21626,-449,-8859,-29168,-1440,23524,-5073,-4518,-21079
1775248097.1187847,-6412,3432,24156,12454,34,-5247,-26264,3220,22560,-2587,-2808,-11611
1775248097.1194298,-7148,1048,22508,3848,1440,-2840,-22416,6080,23156,470,-1982,-3043
1775248097.1203985,-8188,-656,19508,-3249,-43,-1228,-16344,6652,19740,3521,1068,3085
1775248097.121637,-9096,-1256,15652,-7432,-772,718,-9584,5676,15660,4429,2910,7236
1775248097.1787422,-9896,-1692,12572,-8639,448,2217,-3180,5148,13040,3760,2244,9275
1775248097.1795967,-10816,-1544,9816,-7889,1170,3499,788,4460,11536,2237,1729,9539
1775248097.1806517,-11900,-1648,8540,-5996,963,4507,4308,4408,11048,318,1796,8518
1775248097.2387896,-13216,-1816,7748,-3492,717,5206,5908,4712,12144,-1682,1713,6819
1775248097.2396455,-14052,-1748,8020,-1383,809,5080,6440,5280,14216,-2839,1239,5088
1775248097.298659,-14468,-1680,8196,-131,933,4150,5684,5808,16636,-2808,707,3639
1775248097.2994359,-14784,-1636,8536,264,-498,2810,5548,6032,17384,-1817,1738,2149
1775248097.3005893,-14892,-1176,8552,643,-654,1538,5220,5640,17604,-1044,1469,1162
1775248097.3588634,-14468,-812,9032,1085,-1546,545,4516,5160,16644,-415,2083,-5
1775248097.3594513,-14096,-936,9252,1568,-824,-87,3768,5276,16420,-253,1096,-517
1775248097.3606281,-13424,-280,9680,1949,-602,-732,2684,4620,16540,-19,742,-1136
1775248097.4187875,-13048,-256,9904,1927,-1233,-866,1488,4624,16240,168,1273,-1314
1775248097.4196274,-13052,-512,10280,1920,-1339,-784,1172,4912,15880,166,1436,-1342
1775248097.478635,-13036,-812,10476,1826,-638,-876,1312,5304,16004,189,722,-1076
1775248097.479255,-13064,-992,10208,1696,-410,-964,1484,5304,15876,287,496,-984
1775248097.4804864,-12632,-928,10296,1776,-56,-780,912,5168,15156,69,204,-835
1775248097.5387695,-12680,-956,10540,1729,-36,-234,140,5100,15360,-342,323,-465
1775248097.5392373,-12448,-876,10712,1462,-88,5,360,5148,15944,-345,463,-156
1775248097.540485,-12700,-720,10676,1083,46,73,204,5112,16116,-176,411,234
1775248097.598793,-12888,-736,10444,736,3,219,724,5000,16068,-111,567,549
1775248097.5998306,-12944,-764,10408,618,-471,278,1412,5072,16004,-17,1042,551
1775248097.658396,-13052,-980,10444,675,92,172,1344,5352,16188,-57,460,625
1775248097.6592371,-12784,-988,10336,515,243,-63,1096,5304,16156,264,300,623
1775248097.660379,-12508,-868,10416,365,-30,-94,1088,5144,15512,389,574,665
1775248097.7187643,-12824,-992,10188,370,-440,170,1176,5136,15444,207,1062,680
1775248097.7193303,-12740,-1080,10204,349,-536,135,1620,5240,15608,213,1168,657
1775248097.7205446,-12656,-900,10124,472,-771,246,1276,5048,15188,110,1345,566
