timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775273342.670232,-3352,-13344,-8324,1167,499,-412,11760,11160,-5428,93,-134,18
1775273342.6712806,-3280,-13348,-8392,1462,400,-353,11504,11136,-5500,-94,-78,-213
1775273342.7304087,-3460,-13524,-8500,1620,551,-302,11900,11312,-5244,-214,-240,-317
1775273342.731039,-3104,-13724,-8920,1811,1033,-728,12376,11432,-5180,-37,-819,-528
1775273342.732205,-3084,-13712,-8796,2211,1568,-1232,12324,11320,-5732,16,-1546,-961
1775273342.790327,-2832,-13600,-8652,2635,1427,-1313,11824,11184,-6152,-123,-1488,-1391
1775273342.7909641,-2468,-13572,-8592,3010,1810,-1337,11372,11176,-6248,-343,-1947,-1597
1775273342.7923677,-2344,-13432,-8060,3246,2738,-1470,10860,11096,-5924,-465,-2889,-1619
1775273342.8503954,-2196,-13120,-7300,3299,1897,-1330,9756,10960,-5484,-554,-2050,-1776
1775273342.8507342,-1908,-12724,-6552,2910,323,-952,7948,10756,-5016,-454,-371,-1697
1775273342.8521898,-1120,-12168,-6024,1723,358,-543,5944,10276,-4732,-73,-177,-485
1775273342.9100246,-652,-11192,-5684,-412,1122,351,3376,9308,-4540,338,-251,1988
1775273342.9111197,-132,-9796,-4824,-3738,551,2363,-644,8192,-4228,730,1374,5605
1775273342.970158,292,-8052,-4068,-9279,-927,5690,-4484,6240,-2712,1455,4533,11536
1775273342.9708896,428,-6068,-3892,-16525,-1987,9330,-7072,3316,-756,2917,7751,19088
1775273342.9720733,152,-3392,-5552,-25457,-1676,13067,-6884,-1088,992,5130,9788,28456
1775273343.030222,-768,-1816,-8972,-32768,4383,14110,3000,-5348,1616,8286,5327,32767
1775273343.090401,-1960,-2040,-12204,-32768,12864,11570,12576,-7340,-3368,11210,-2833,32767
1775273343.0911746,-2860,112,-14064,-32768,11214,12371,13504,-10720,-8820,10291,-898,32767
1775273343.0920308,-1792,-400,-18064,-32768,10396,15937,16172,-11428,-13088,6549,154,32767
1775273343.0934796,-1088,-1424,-22048,-30357,16796,17350,23880,-10988,-18060,2511,-6454,32767
1775273343.1502361,-2272,-2780,-24536,-23623,11896,19806,30180,-9348,-20360,-2905,-1891,32767
1775273343.1512623,-2188,-2724,-25724,-14948,6333,21261,32767,-7800,-19532,-8532,2093,26168
1775273343.1529098,-3240,-2696,-25972,-7857,2432,22206,30408,-6328,-15452,-13027,4663,19968
