timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775770752.738441,-1976,-15020,-6528,935,186,942,9428,12788,-6256,-817,548,852
1775770752.740237,-2572,-15060,-6836,1281,-488,1403,10292,12940,-6156,-1324,1224,636
1775770752.769142,-2716,-15012,-6712,1695,-1430,1491,10484,13100,-4992,-1548,2030,82
1775770752.798744,-2848,-14992,-6048,1897,-1049,872,10288,13144,-4132,-1201,1477,-292
1775770752.82946,-2724,-14704,-5612,1904,8,-41,9608,13160,-3448,-533,254,-491
1775770752.858548,-2172,-14264,-4912,1751,238,-900,8700,12888,-3524,206,-105,-817
1775770752.8602471,-804,-13688,-3684,1785,830,-1611,6736,12200,-4296,643,-832,-1029
1775770752.918727,1148,-12572,-1188,1389,1878,-1790,1616,11364,-4276,944,-1855,-477
1775770752.920552,3216,-11052,1540,-456,3715,-1156,-3912,10328,-3844,1376,-3470,1889
1775770752.948704,5336,-8044,4072,-3082,4619,-300,-7772,7532,-3452,1994,-3408,4778
1775770752.950408,8680,-4712,7164,-6224,4764,1134,-14864,4320,-2576,2634,-2687,8080
1775770752.9786549,10608,-1488,10796,-11704,8163,3667,-25404,1100,-2432,3390,-4483,14891
1775770753.008857,10688,2440,12508,-20898,10488,9646,-32720,-4212,-1172,3594,-3492,26259
1775770753.039653,6588,5816,9112,-32768,4073,18900,-32768,-11548,3956,4473,7340,32767
1775770753.041514,1328,8632,84,-32768,-5561,29003,-19208,-21256,8172,5698,21425,32767
1775770753.071552,-3464,10876,-11856,-32768,-1906,32767,8108,-30408,5928,6615,19636,32767
1775770753.102231,-10168,8984,-28216,-32768,18918,27266,32767,-30288,-2412,7952,-2317,32767
1775770753.132523,-18384,2432,-32768,-32768,16543,17844,32767,-19076,-12400,6200,-3986,32767
1775770753.1325738,-21304,-696,-32768,-14194,-304,8275,32767,-9080,-11992,1776,5286,15949
1775770753.159515,-16860,24,-32768,379,-5599,-276,32767,-6024,-6896,823,5831,-1362
1775770753.1906528,-11588,-1092,-28924,3595,-1051,-2839,29960,-3996,-6772,685,161,-3699
1775770753.2484999,-8844,-3308,-24296,1705,1800,-620,21428,-1256,-7468,-217,-1492,-71
1775770753.250484,-7784,-4848,-22504,-557,-2090,1966,21672,564,-6528,-558,3321,2069
1775770753.250546,-7112,-4744,-22184,-1102,-2962,1943,26088,564,-6092,-65,4152,2167
1775770753.3087611,-6044,-4132,-21092,1213,-597,-790,28048,44,-6692,508,775,-592
1775770753.310536,-5192,-2996,-19356,4096,255,-2954,24064,-996,-6916,475,-1011,-3865
1775770753.338586,-4220,-1984,-17064,5642,-820,-3486,19132,-1708,-6516,89,-280,-5598
1775770753.36868,-3224,-1372,-14908,5954,-1571,-3333,15104,-1800,-5672,-187,391,-5963
1775770753.370528,-2840,-1216,-13520,5425,-451,-2766,12600,-1840,-5376,-404,-501,-4871
1775770753.398893,-2860,-1548,-12792,4721,-382,-1701,12092,-1384,-5500,-856,-151,-3738
1775770753.4285371,-3172,-1848,-12336,4020,-1916,-64,11516,-1024,-5156,-1586,1781,-2694
1775770753.430279,-3624,-1792,-12416,3267,-2406,1208,12412,-832,-4436,-2163,2657,-1554
1775770753.458375,-4148,-1716,-12612,2844,-1325,1738,13832,-768,-3592,-2418,1729,-662
1775770753.489061,-4896,-1536,-13132,2446,-1096,1661,15032,-664,-2640,-2136,1626,-333
1775770753.519029,-5488,-1912,-13416,2131,-1734,1236,15776,-236,-1784,-1549,2202,-481
1775770753.549668,-5132,-1924,-13152,1829,-915,242,15872,-224,-2092,-671,1225,-542
1775770753.552397,-4984,-2300,-13552,1582,274,-545,15636,-104,-2656,-4,-22,-432
1775770753.582576,-4832,-2260,-13708,1393,132,-849,15464,-244,-3516,369,87,-471
1775770753.612468,-4780,-2460,-13684,1247,-65,-668,15168,-188,-4120,293,349,-328
1775770753.642443,-4788,-2492,-13868,1063,-447,-244,15268,-228,-4128,101,870,-29
1775770753.642506,-4736,-2784,-13988,866,73,-170,15520,96,-3880,116,338,308
