timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775769716.9530299,-6392,-1964,15380,1785,111,154,-6540,6280,12432,-711,248,-267
1775769716.954836,-6576,-2016,15516,1873,840,277,-6720,6412,13236,-941,-445,-81
1775769716.954918,-6576,-2188,15728,1724,321,255,-6632,6572,13584,-783,126,-85
1775769716.983277,-6648,-2144,15252,1739,-740,232,-6088,6528,13176,-661,1119,-403
1775769717.013238,-6780,-1688,15032,2053,-1753,288,-5424,5856,12628,-775,2026,-909
1775769717.014934,-6828,-1092,14444,2847,-2197,692,-5012,5036,11724,-1539,2412,-1437
1775769717.0436218,-6896,-624,14076,4035,-2341,1540,-4452,4340,10832,-2949,2525,-2008
1775769717.073143,-7908,412,13432,5935,-2842,2914,-3108,2896,10216,-5116,2951,-2942
1775769717.103277,-9928,3392,12724,9021,-7654,4921,1136,-96,11708,-8047,7570,-5714
1775769717.133013,-11200,5784,13128,14825,-14038,5047,6316,-2488,13588,-10911,12412,-12125
1775769717.134964,-13904,5720,14328,19968,-10969,1907,4096,-956,22844,-11677,7595,-17124
1775769717.163071,-18568,5552,19680,21050,-6389,-4604,1808,2608,32767,-7842,1562,-20175
1775769717.194226,-27480,1560,29988,17189,-487,-16615,-2808,12448,32767,3053,-6227,-21990
1775769717.2241962,-29896,8712,32767,3079,1891,-32768,-13248,9236,32767,28545,-10458,-21690
1775769717.226878,-25432,10724,32767,-17954,-76,-32768,-32768,-2272,32767,32767,-9191,-17505
1775769717.256245,-11860,22132,32767,-32768,-10929,-32768,-32768,-31168,32767,32767,4049,-3289
1775769717.285193,984,32767,32767,-32768,-31976,-32768,-32768,-32768,32767,32767,30929,16949
1775769717.31302,10792,32767,18372,-32768,-32768,-32768,-31528,-32768,21232,32767,32767,32767
1775769717.314962,12724,29588,4924,-32768,-15354,-32768,-8200,-32768,-5580,32767,22772,32767
1775769717.3430898,18948,12392,-3520,-32768,-7921,-32768,8408,-32768,-27904,32767,14698,32767
1775769717.373358,20152,500,-11960,-32768,-14055,-24175,17504,-30900,-32768,32767,19415,32244
1775769717.403501,19680,-6484,-21116,-32768,-10720,-12123,23984,-16208,-32768,32767,14927,22608
1775769717.4332259,16688,-8208,-23840,-19168,-6374,-1086,23380,-7636,-32768,12841,9949,14011
1775769717.434848,11848,-9064,-19708,-5312,-2239,5941,19784,-1700,-32768,-1067,4874,7749
1775769717.463396,7712,-9092,-13444,3776,-2801,8908,15972,2488,-21564,-8271,4480,1958
1775769717.4930859,5328,-10188,-9312,8716,-6475,8139,11396,6104,-11168,-10369,7040,-3488
1775769717.553119,3948,-10964,-7772,9573,-4608,5270,8152,7924,-7348,-8816,4385,-5056
1775769717.5550752,3908,-11816,-5072,9729,-2848,3076,5692,9124,-7728,-7324,2337,-5870
1775769717.555128,3948,-12992,-3316,10165,-3291,2537,3780,10516,-8548,-7170,2544,-6623
1775769717.6132622,4156,-14260,-1536,10149,-3627,2664,888,11996,-7588,-7201,2887,-6650
1775769717.615147,3892,-14820,-336,9337,-3350,2882,-920,12956,-6732,-6948,2758,-5783
1775769717.6152,4380,-15376,416,7929,903,3000,-1740,13620,-6924,-6662,-1008,-3361
1775769717.643216,3944,-15800,1052,6969,707,3818,-1960,14232,-6672,-6733,-416,-2221
1775769717.673167,4156,-15840,2004,6149,1101,4005,-1144,14424,-6068,-6478,-692,-1339
1775769717.703017,3916,-15892,1828,5583,1589,3599,-956,14740,-4860,-5798,-1052,-1048
1775769717.704757,3860,-15828,2268,5108,985,2981,-680,14756,-5388,-4987,-536,-1129
1775769717.733043,3472,-16100,1904,4835,104,2623,-680,15136,-4688,-4406,289,-1332
1775769717.763274,3512,-15772,2432,4424,523,1865,-204,14780,-5404,-3648,-253,-1347
1775769717.7940621,3436,-15916,2064,4388,513,1524,-512,15000,-4852,-3334,-253,-1493
1775769717.8232021,3476,-15656,2148,4034,225,929,-424,14712,-5240,-2607,-95,-1588
1775769717.824826,3688,-15972,1464,3859,189,618,-352,14740,-5944,-2307,-89,-1614
1775769717.852967,3964,-15724,1812,4113,49,745,-132,14344,-7284,-2533,68,-1834
1775769717.883295,3988,-15860,1684,4584,515,1216,-628,14384,-7116,-3262,-427,-1785
1775769717.9141839,4420,-15468,1804,4658,249,1448,-1004,14092,-6584,-3426,-110,-1804
1775769717.916845,4648,-15040,1668,4676,131,1480,-1008,13548,-7036,-3465,-13,-1821
1775769717.9469938,5272,-14904,2144,5316,-407,1874,-896,13084,-8552,-4122,504,-2300
