timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775769317.9501948,-14044,-5180,4552,228,-486,-2560,6920,8212,12628,2430,485,-645
1775769317.9521291,-13984,-5180,4604,273,-391,-2528,6880,8084,12148,2399,383,-664
1775769317.9522219,-13892,-5352,4472,344,-267,-2337,6748,8108,11756,2170,295,-587
1775769317.9802282,-13984,-5356,4592,521,-340,-1859,6664,8124,11388,1694,465,-472
1775769318.04028,-13908,-5496,4704,783,-270,-1221,6636,8168,11392,1036,499,-287
1775769318.041856,-13904,-5272,4496,953,-307,-631,6588,8152,11452,459,610,-129
1775769318.0702379,-14032,-5524,4544,1140,19,-110,6532,8244,11620,-92,409,131
1775769318.071857,-14140,-5440,4860,1113,566,295,6516,8356,12128,-481,-42,499
1775769318.100132,-14128,-5316,4800,1010,868,433,6796,8396,12628,-541,-261,730
1775769318.129956,-14160,-5356,4496,952,569,367,7192,8448,12628,-399,26,676
1775769318.1320379,-14292,-5420,4412,986,122,163,7468,8376,12644,-249,418,383
1775769318.1606028,-14168,-5328,4600,1048,106,-66,7124,8424,12868,-98,359,235
1775769318.1900291,-14188,-5300,4576,902,-2,-266,6944,8420,12816,181,419,192
1775769318.220227,-14184,-5416,4656,771,-189,-354,6976,8392,12684,317,615,191
1775769318.222014,-14232,-5280,4736,713,-202,-307,6944,8332,12448,330,664,246
1775769318.250108,-14280,-5364,4628,671,-109,-239,7008,8328,12328,285,599,360
1775769318.2801862,-14216,-5328,4536,720,114,-129,6864,8376,12392,149,380,455
1775769318.311025,-14304,-5284,4740,680,378,-3,6952,8364,12444,53,183,657
1775769318.31306,-14248,-5380,4460,720,466,89,7036,8252,12436,-45,105,673
1775769318.370254,-14144,-5212,4496,674,299,159,6948,8276,12452,-61,319,689
1775769318.372088,-14208,-5276,4532,610,154,297,7024,8256,12408,-115,481,742
1775769318.37215,-14248,-5252,4548,633,436,431,6936,8164,12540,-274,231,911
1775769318.430349,-14240,-5140,4680,600,623,579,6916,8204,12496,-398,81,1078
1775769318.432041,-14452,-5036,4608,481,817,699,6980,8220,12764,-429,-63,1283
1775769318.462055,-14468,-5236,4704,371,1080,705,6836,8260,12996,-406,-292,1445
1775769318.4621298,-14724,-5088,4108,152,1234,659,7440,8144,13080,-244,-417,1655
1775769318.48994,-14604,-5264,4088,207,1109,469,8336,8224,12784,-122,-300,1450
1775769318.520278,-14724,-5184,3816,606,363,169,8744,8068,12492,-44,265,725
1775769318.550227,-14668,-5068,3688,1079,-98,-126,8620,8024,12512,-43,554,108
1775769318.5520902,-14540,-5008,3880,1451,-237,-356,8240,8008,12480,-75,561,-389
1775769318.5804338,-14548,-4792,4328,1605,18,-414,7256,7844,12696,-133,260,-433
1775769318.610378,-14340,-4904,4312,1366,143,-307,6772,7980,12832,-67,207,-153
1775769318.64013,-14316,-5248,4372,1070,-77,-308,7076,8244,12792,113,444,6
1775769318.642058,-14344,-5320,4416,943,-116,-384,7132,8308,12696,270,495,70
1775769318.670193,-14428,-5192,4392,832,-254,-395,6984,8200,12520,342,677,125
1775769318.700305,-14448,-5416,4336,725,7,-246,7108,8236,12400,244,440,348
1775769318.730156,-14400,-5392,4376,678,512,-155,7152,8192,12496,168,-26,574
1775769318.731998,-14236,-5184,4196,666,499,-130,7272,8280,12640,148,33,603
1775769318.761975,-14340,-5120,4248,639,295,-126,7380,8136,12480,192,225,555
1775769318.820402,-14308,-5028,4232,613,174,-114,7228,8000,12424,172,323,562
1775769318.821816,-14272,-5036,4232,595,41,-41,7376,8092,12444,175,497,571
1775769318.880244,-14332,-4996,4012,584,36,29,7452,7896,12460,132,532,631
1775769318.881967,-14360,-5036,3904,592,-35,44,7720,7868,12408,81,563,616
1775769318.882024,-14472,-5184,4096,786,-46,-16,7820,8060,12320,21,530,409
1775769318.884019,-14472,-4944,3980,947,177,-64,7856,8012,12576,-21,305,326
1775769318.9123101,-14468,-5192,3848,1035,-54,-243,7932,8132,12644,88,501,92
1775769318.940385,-14356,-5200,4264,1111,-448,-446,7712,8200,12572,232,770,-207
1775769318.970083,-14472,-5240,4348,1052,-138,-495,7024,8164,12728,263,481,-124
1775769318.97193,-14320,-5220,4520,816,151,-474,6940,8248,12768,379,247,195
1775769319.000256,-14332,-5172,4072,642,-29,-422,7320,8124,12452,451,489,265
1775769319.030208,-14356,-5320,4048,780,-173,-404,7720,8096,12216,368,556,173
1775769319.09041,-14296,-5376,4168,993,-196,-479,7676,8200,12296,294,585,-33
1775769319.091926,-14400,-5260,4368,1072,8,-476,7132,8204,12512,245,348,-30
1775769319.091986,-14276,-5188,4296,890,105,-426,6972,8176,12592,284,302,163
1775769319.120547,-14160,-5208,4180,713,-222,-340,7096,8096,12280,349,673,252
1775769319.1500401,-14260,-5284,4296,818,-258,-210,7428,8220,12100,186,694,202
1775769319.1520069,-14284,-5320,4380,932,33,-93,7184,8248,12192,-12,447,306
1775769319.180172,-14252,-5312,4344,865,-21,114,7140,8252,12316,-129,551,389
1775769319.209984,-14332,-5380,4360,807,20,168,7148,8268,12596,-118,531,501
1775769319.211995,-14380,-5304,4516,731,-33,122,7256,8388,12660,-55,591,532
1775769319.2402189,-14288,-5212,4356,639,-35,76,7164,8284,12756,87,602,588
1775769319.270259,-14392,-5152,4380,514,29,43,7220,8204,12856,159,540,679
1775769319.299982,-14452,-5188,4288,445,77,-63,7496,8220,12732,284,503,700
1775769319.302026,-14304,-5232,4068,506,-52,-182,7692,8132,12452,355,573,544
1775769319.3301902,-14452,-5184,4108,641,-62,-222,7836,8056,12248,299,546,412
1775769319.3603709,-14356,-5144,4208,830,42,-227,7504,8080,12412,177,396,280
1775769319.390047,-14388,-4932,4208,831,216,-135,7172,7952,12436,94,282,347
1775769319.39181,-14280,-4940,4240,771,369,-38,7156,7784,12504,37,169,547
1775769319.4202409,-14420,-4716,4184,707,337,22,7456,7860,12548,2,202,615
1775769319.480202,-14568,-4828,4020,760,310,-17,7760,7860,12532,5,207,553
1775769319.481853,-14492,-4836,4088,914,347,-126,8104,7800,12536,36,127,379
1775769319.48191,-14552,-4928,3944,1102,96,-306,8056,7828,12592,47,299,42
1775769319.540371,-14500,-5000,3916,1159,170,-421,7768,7820,12664,135,169,-80
1775769319.541899,-14300,-4892,3864,1155,145,-570,7704,7812,12468,230,166,-131
1775769319.541939,-14200,-5012,3940,1234,-47,-670,7784,7816,12304,308,361,-310
1775769319.5701919,-14356,-5116,3860,1377,52,-723,7852,7904,12276,240,184,-423
1775769319.6003032,-14248,-5120,4012,1527,155,-712,7724,8008,12124,118,82,-511
1775769319.630031,-14244,-5292,4152,1670,-46,-583,7252,8132,12152,-42,300,-624
1775769319.632094,-14324,-5364,4476,1597,-36,-375,6836,8264,12336,-154,313,-440
1775769319.66204,-14300,-5308,4612,1356,255,-150,6588,8372,12572,-226,136,-43
1775769319.690022,-14460,-5436,4428,1113,285,-31,6916,8508,12612,-166,178,242
1775769319.720065,-14456,-5424,4420,990,126,-58,7368,8440,12644,-67,342,295
1775769319.7220259,-14404,-5380,4292,953,118,-187,7416,8364,12704,65,319,211
1775769319.7502,-14276,-5300,4172,848,60,-314,7348,8280,12660,207,372,226
1775769319.780341,-14236,-5292,4144,790,-66,-358,7420,8160,12480,328,504,209
1775769319.8101969,-14280,-5144,4156,832,-73,-365,7424,8080,12264,285,498,170
1775769319.812047,-14344,-5312,4124,888,54,-261,7328,8164,12280,157,400,227
1775769319.8702478,-14428,-5176,4140,876,296,-160,7384,8012,12276,42,178,337
1775769319.871995,-14348,-5056,4104,963,251,-84,7532,7972,12308,-55,233,325
1775769319.8720481,-14300,-5032,4048,1053,224,-90,7740,7936,12368,-80,243,236
1775769319.930315,-14368,-5108,4260,1106,320,-139,7472,8052,12592,-100,86,195
1775769319.932033,-14344,-5172,4184,1001,265,-237,7452,8200,12868,45,181,186
1775769319.960157,-14348,-5172,4112,902,-9,-408,7556,8216,12664,272,399,120
1775769319.9618611,-14292,-5092,4040,919,-147,-530,7648,8148,12316,369,485,3
1775769319.990099,-14312,-5140,3972,1030,-7,-468,7528,8012,12264,264,341,15
1775769320.0203981,-14372,-5284,4076,1061,145,-386,7428,8184,12388,150,249,72
1775769320.050038,-14292,-5248,4232,1071,51,-306,7240,8160,12420,77,337,92
1775769320.052,-14220,-5172,4304,989,292,-180,7220,8212,12460,33,161,249
1775769320.080132,-14348,-5008,4204,894,241,-93,7244,8008,12448,12,247,360
1775769320.14021,-14372,-5180,3984,919,283,-95,7684,8028,12292,12,196,355
1775769320.141911,-14376,-5300,4088,1067,309,-205,7836,8192,12428,-36,112,164
1775769320.141967,-14396,-5224,4012,1145,315,-299,7708,8140,12436,2,76,56
1775769320.170489,-14236,-5136,3836,1150,165,-324,7672,8000,12324,83,213,10
1775769320.201115,-14280,-5120,3956,1222,-79,-403,7832,7988,12148,86,428,-156
1775769320.230054,-14208,-5120,3948,1390,-108,-385,7704,7972,12116,-39,391,-286
1775769320.231902,-14288,-5164,4116,1494,96,-201,7256,7956,12148,-241,276,-235
1775769320.260413,-14268,-5276,4068,1431,174,-60,7304,8108,12288,-313,228,-71
1775769320.2928588,-14216,-5236,4052,1428,-147,-66,7628,8200,12272,-291,519,-181
1775769320.324157,-14416,-5364,4236,1547,-133,-119,7680,8288,12380,-308,465,-300
1775769320.3242261,-14188,-5348,4148,1536,63,-209,7204,8332,12584,-264,307,-269
1775769320.3534741,-14164,-5340,4408,1299,-223,-221,7180,8324,12680,-64,597,-185
1775769320.382118,-14228,-5260,4320,1182,-105,-279,7156,8328,12628,19,509,-56
1775769320.410231,-14192,-5348,4496,1088,-134,-305,7116,8276,12524,97,535,-14
1775769320.4120672,-14376,-5324,4392,1040,-170,-243,7096,8292,12428,81,599,63
1775769320.44017,-14436,-5204,4332,914,159,-113,7188,8164,12588,21,318,284
1775769320.47011,-14360,-5180,4228,907,30,-73,7464,8084,12520,4,468,290
1775769320.472002,-14364,-5184,4212,1031,-44,-119,7772,8040,12484,-38,448,171
1775769320.530164,-14296,-5120,4180,1139,117,-194,7620,8132,12500,-41,298,44
1775769320.5320299,-14360,-5208,4148,1185,68,-281,7452,8100,12580,34,304,-14
1775769320.5620391,-14352,-4972,4188,1110,82,-319,7360,7960,12536,80,296,26
1775769320.562101,-14336,-5140,4236,1122,68,-314,7580,7956,12416,91,295,-1
1775769320.591116,-14336,-4916,3972,1239,36,-393,7764,7988,12288,29,299,-111
1775769320.620547,-14236,-5096,4148,1377,64,-453,7648,8024,12372,32,240,-290
1775769320.6502552,-14192,-5220,4168,1454,-40,-459,7396,8080,12492,2,314,-366
1775769320.652106,-14292,-5188,4148,1424,-95,-453,7340,8092,12484,45,404,-363
1775769320.6803389,-14108,-5232,4032,1457,-299,-496,7624,8108,12324,61,593,-462
1775769320.710183,-14280,-5296,4408,1644,-129,-500,7424,8232,12232,-72,342,-564
1775769320.740223,-14200,-5260,4436,1627,-60,-404,6920,8220,12528,-139,326,-449
1775769320.741872,-14476,-5284,4544,1449,-81,-294,6948,8408,12672,-117,403,-276
1775769320.770234,-14412,-5396,4492,1323,204,-241,7176,8380,12680,-115,173,-86
1775769320.800273,-14356,-5444,4400,1298,-8,-277,7444,8404,12628,-28,373,-128
1775769320.830168,-14468,-5344,4348,1395,43,-372,7428,8424,12680,-45,253,-233
1775769320.8321831,-14356,-5292,4600,1396,267,-419,7028,8344,12704,-33,47,-177
1775769320.8606012,-14312,-5268,4368,1225,172,-390,7000,8304,12732,49,170,-72
1775769320.920196,-14260,-5320,4360,1102,151,-393,7288,8292,12608,115,193,29
1775769320.921951,-14156,-5328,4192,1142,56,-467,7436,8188,12404,178,316,-124
