timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775770878.709075,13640,-1468,-9572,1351,950,-321,2048,-3332,-16560,-150,-602,39
1775770878.739449,13740,-1484,-9800,1677,1045,-510,2680,-3316,-16116,-136,-751,-286
1775770878.7702231,13968,-1512,-9520,2135,1216,-1293,2740,-3280,-16092,176,-1193,-1023
1775770878.772696,14752,-1616,-9020,2879,1805,-2254,2084,-3104,-16524,472,-2121,-2014
1775770878.802009,18540,-2104,-6416,3941,4401,-3661,-2316,-2948,-19304,828,-5119,-2898
1775770878.832999,20356,-3656,-2736,3800,6148,-1225,-14688,-1736,-23648,-1291,-5999,-866
1775770878.8631392,21488,-668,-1012,-709,9436,6583,-24592,-4948,-23916,-5536,-6871,7961
1775770878.892952,20572,-2276,152,-9125,7785,16967,-28256,-4072,-20156,-8962,-1001,19929
1775770878.893017,15764,2024,-3268,-18664,1369,25937,-20144,-9880,-12816,-10043,8710,30671
1775770878.921062,10384,5872,-8340,-26474,-2336,30780,-7868,-15780,-6340,-9072,14584,32767
1775770878.949462,6552,7404,-17184,-27308,1064,27879,26532,-18156,-7288,-6837,10072,32767
1775770878.979226,-4064,3112,-31188,-11940,-12735,15915,32767,-10404,-7456,-4400,17864,15361
1775770878.981193,-12496,-5216,-32768,16269,-4643,-11221,32767,128,2448,2834,-2967,-22505
1775770879.009393,-7180,5664,-26196,32767,-1593,-32768,32767,-19504,6940,8448,-12670,-32768
1775770879.041311,14180,11856,-12648,32767,-4894,-32768,15128,-32768,804,16494,-14176,-32768
1775770879.069124,26180,7708,2000,32767,-762,-32768,-32768,-32284,-26608,15967,-12360,-32768
1775770879.0707881,32767,-3872,14256,24244,32767,-20408,-32768,-6852,-32768,-3101,-32768,-15505
1775770879.098992,32767,1140,14292,1193,18211,11855,-32768,-5868,-25876,-11862,-13362,12002
1775770879.129299,24004,456,12892,-18788,1456,27777,-32768,-6092,-7852,-11468,9321,31950
1775770879.159523,14164,2420,2864,-29836,1661,29999,-18208,-9992,2380,-6908,11024,32767
1775770879.1892328,9252,3788,-4604,-32768,4353,25484,-2424,-13524,3064,999,8835,32767
1775770879.190767,6444,3292,-13004,-32768,-6661,19753,17664,-13592,1388,7594,18428,32767
1775770879.219212,1348,2704,-24464,-29669,-13353,7877,32767,-11112,-3048,12425,19533,25467
1775770879.2492049,-5152,-5780,-32412,-6897,-9479,-12269,32767,-1880,-13560,15450,7851,-3021
1775770879.279089,-2752,2580,-29812,23991,-5242,-32768,32767,-16220,-13656,14153,-6310,-32768
1775770879.280898,17532,5484,-14940,32767,-1182,-32768,21764,-27740,-17852,13543,-15721,-32768
1775770879.3094451,27620,4948,-3540,32767,-14796,-32768,-32768,-30576,-32744,10480,-2405,-32768
1775770879.3393972,32767,-3012,4876,25937,26346,-16081,-32768,-8920,-32768,-4361,-32133,-20279
1775770879.370167,32767,-156,12536,2895,22461,12963,-32768,-5652,-27860,-14324,-17747,12501
1775770879.372674,24448,92,10176,-19392,6740,30624,-32768,-7132,-8576,-13976,4947,32767
1775770879.401786,14432,3444,2296,-31611,1703,32767,-17176,-13284,1164,-9225,12319,32767
1775770879.433129,8204,5828,-6700,-32768,678,30252,-232,-16716,5444,-1712,13744,32767
1775770879.462917,15828,8844,-9784,-32768,-7431,22872,14112,-18380,9156,6636,21366,32767
1775770879.462968,-3244,-2636,-25060,-24954,-7843,3195,32767,-3688,-4048,13013,12822,20238
1775770879.5194151,-7536,-3356,-32768,4766,-10887,-20427,32767,-5872,-11980,15411,5334,-17683
1775770879.5212429,4896,3924,-23976,28283,-8977,-32768,32767,-19408,-14248,15727,-3957,-32768
1775770879.5793579,20700,2676,-8708,32767,-24055,-32768,-7736,-22656,-24428,16248,8603,-32768
1775770879.581495,27396,6528,-1620,25550,7571,-25071,-32768,-20548,-32768,4923,-17133,-30078
1775770879.581541,32767,-1568,9548,6044,16409,4897,-32768,-5196,-32768,-9016,-14419,3892
1775770879.609175,26344,-364,5592,-13727,8385,25996,-32768,-7608,-21836,-13825,1115,28927
1775770879.6392589,16744,744,-140,-23891,7629,32767,-17040,-10336,-9024,-13303,5065,32767
1775770879.669125,196,-6152,-16852,-29096,8115,30925,18576,-5852,-2936,-8653,5880,32767
1775770879.670838,3536,1372,-14044,-23631,-1233,22088,31588,-8616,340,-3720,10775,31351
1775770879.69906,-4876,-972,-30540,-11728,-4669,3228,32767,-3452,1608,5296,6911,10501
1775770879.7293801,-10948,-1612,-32768,11736,-8500,-22902,32767,-6032,-1724,13325,1150,-23740
1775770879.759219,-3984,10896,-30772,32767,-5887,-32768,32767,-29464,-1620,18330,-9910,-32768
1775770879.761142,11904,5340,-9536,32767,-14802,-32768,4696,-29868,-15744,20396,-5172,-32768
1775770879.78923,23404,13108,-6020,32767,3568,-32768,-32768,-32768,-32768,12265,-18846,-32768
1775770879.819242,32720,-1624,7744,19442,28093,-10962,-32768,-7572,-32768,-4964,-32218,-12285
1775770879.879333,28452,-1900,6780,789,14836,12462,-32768,-3216,-23212,-11776,-10446,11570
1775770879.909369,20584,-2256,3412,-10971,4367,21020,-22896,-2500,-11068,-10713,3506,22606
1775770879.9112582,11572,-2260,-10240,-16997,-48,20239,-1924,-3212,-4964,-6341,7844,25935
1775770879.9112902,9868,-2532,-6624,-16990,-584,13817,10264,-1872,-5168,-816,7304,21962
1775770879.9693499,9076,-3328,-9212,-12512,931,5193,17344,-332,-6976,3477,3000,14124
1775770879.971081,10208,-3360,-10068,-6348,-1937,-3130,18072,-664,-10624,6951,3036,3823
1775770879.971118,10952,-1444,-10000,-677,-3486,-8831,11364,-3304,-13636,8386,2064,-4147
1775770880.0291252,13408,88,-9368,1931,-203,-10669,3104,-5428,-16720,8046,-1968,-6235
1775770880.031008,15424,1024,-9356,2052,640,-8818,-3428,-6872,-20020,6350,-2285,-5067
1775770880.0592692,16692,880,-9680,466,215,-4730,-5620,-7044,-21488,3969,-695,-1669
1775770880.060916,16000,92,-9868,-929,-660,-333,-3268,-6016,-21504,1306,1416,1542
1775770880.089107,14588,-496,-10140,-1020,1050,2137,668,-5044,-19116,-822,323,3369
1775770880.1191092,13472,-900,-10628,-583,797,2720,3580,-4088,-16644,-1487,616,3216
