timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775770833.438855,-9180,-13148,3016,-474,-1978,2876,6892,14568,5880,-1364,3246,2443
1775770833.440577,-9876,-13264,2296,-45,-147,2387,7400,14396,5576,-1416,1296,2361
1775770833.442533,-10180,-12936,2528,733,-131,2186,8012,14420,5904,-1740,1101,1590
1775770833.4710069,-10108,-12644,2752,1344,-1461,1927,7428,14316,6656,-1716,2249,621
1775770833.5290089,-9872,-12304,3356,1573,-1814,1419,6484,13928,6936,-1385,2411,52
1775770833.5308108,-9764,-11536,3740,1726,-1014,1095,5588,13292,7012,-1286,1536,-46
1775770833.5308669,-9472,-10688,4304,1781,-215,909,4656,12540,7116,-1270,773,89
1775770833.559009,-9120,-9800,4984,1654,-470,1106,3384,11736,7444,-1334,1067,218
1775770833.5891619,-8128,-8556,5752,1390,-406,1427,2076,10760,7516,-1428,1098,635
1775770833.6187031,-6672,-7712,6664,1001,82,1387,440,9836,7300,-1203,628,1042
1775770833.620696,-4676,-6072,8212,659,2648,1087,-2196,8088,6652,-1025,-1917,1857
1775770833.6488168,-3604,-2712,10040,60,2037,2266,-6332,4940,6460,-1623,-778,2830
1775770833.6793332,-1744,772,12136,-2181,-2367,5580,-14908,1364,6464,-2736,4568,5415
1775770833.7100632,1044,8256,16388,-7802,-6267,12690,-28508,-6368,6932,-4959,10756,12855
1775770833.738975,624,13724,19276,-18272,4753,22400,-32768,-13768,11072,-7778,4081,29875
1775770833.7406158,-5692,19436,21460,-32768,56,32767,-32768,-23408,25468,-8870,15053,32767
1775770833.8002849,-9232,23952,21268,-32768,-4779,32767,-32768,-32768,32767,-2850,24699,32767
1775770833.801642,-12768,32120,10180,-32768,5188,32767,-28744,-32768,32767,11743,19988,32767
1775770833.832746,-18172,32767,-16604,-32768,14602,32767,15972,-32768,32767,25926,14233,32767
1775770833.83281,-26212,27548,-32768,-32768,-2980,32767,32767,-32768,548,22955,29421,32767
1775770833.861542,-29960,21116,-32768,-32768,-26631,32767,32767,-32768,-11740,2289,32767,32767
1775770833.9191282,-32768,10628,-32768,-20291,-2454,26542,32767,-17916,10668,-9337,11703,30393
1775770833.9210901,-32768,8520,-26944,-1765,15627,6384,32767,-7316,22920,-5182,-12828,9606
1775770833.921144,-27064,10476,-17052,3761,10440,-2801,32767,-8296,21256,-474,-10706,-870
1775770833.9788318,-25532,12460,-13740,474,9986,-2207,15296,-11048,16140,986,-9476,2326
1775770833.98093,-26828,9540,-14424,-6301,6257,4529,17396,-8268,16172,-120,-2937,10495
1775770834.008938,-23024,4488,-13016,-8964,305,4166,30240,-2416,19360,2487,3126,10512
1775770834.038754,-18436,3044,-10980,-6307,304,-4003,32300,-1496,16236,7532,490,3952
1775770834.040554,-15488,4948,-8628,-1195,4783,-10483,25496,-4644,8892,9182,-6173,-2474
1775770834.06916,-13264,5500,-6892,3124,7046,-11385,16680,-5864,5244,7058,-9169,-5697
1775770834.129041,-12424,5852,-5336,5264,4869,-8605,11252,-6036,4900,3853,-6683,-6524
1775770834.131266,-11684,5504,-3868,5622,797,-4659,8084,-5232,5740,856,-2021,-5806
1775770834.131318,-11392,5308,-2884,5046,-2097,-1431,7556,-4484,7316,-1088,1507,-4325
1775770834.1588008,-11408,5112,-2416,4206,-2769,267,8072,-3656,9244,-1906,2654,-2911
1775770834.1893928,-12108,5304,-2920,3490,-3036,963,10004,-3888,9628,-1976,3189,-2065
1775770834.218766,-12932,5808,-3356,3675,-2824,1351,11420,-4356,9784,-2458,3015,-1957
1775770834.220809,-13332,5788,-3248,3890,-2820,1507,11632,-4184,10856,-2713,2979,-2028
1775770834.249016,-13640,5480,-2712,3884,-2137,1062,11608,-3624,11960,-2413,2265,-2127
