timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775769944.866718,6976,-2588,17864,-443,287,-9,-17292,5288,3848,730,465,1504
1775769944.867912,6976,-2640,17676,-1131,407,249,-17028,5220,3404,917,560,2231
1775769944.8964438,7180,-2864,17456,-1526,739,491,-16696,5192,2852,926,331,2782
1775769944.926767,7300,-3052,17052,-1816,831,828,-16440,5208,2388,799,430,3225
1775769944.956588,7024,-3308,16624,-2101,514,1381,-15972,5376,2092,558,870,3675
1775769944.958051,6616,-3356,16052,-2370,635,1939,-15136,5408,2096,242,889,4231
1775769944.986905,6336,-3748,15240,-2374,1110,2248,-13800,5560,1684,-28,516,4509
1775769945.016903,6052,-3680,14540,-1947,1020,2470,-12340,5420,1428,-476,597,4262
1775769945.076559,5124,-3736,13472,-1004,940,2696,-10308,5296,960,-1168,524,3554
1775769945.078538,3280,-3556,11844,666,-252,2775,-6484,5128,1812,-2104,1431,1928
1775769945.078594,1184,-3240,10032,3818,-1766,1732,-236,4672,2728,-2891,1967,-1665
1775769945.136679,-24,-2360,8616,9296,1528,-1562,5432,3400,2452,-3857,-3013,-6982
1775769945.138331,-228,-1172,10860,17006,8579,-6237,4700,2020,5064,-5363,-12414,-13792
1775769945.139901,-1860,2232,12604,22154,8757,-9494,-356,-1020,10276,-5753,-13961,-19643
1775769945.1983202,-2752,4424,16244,26160,9330,-12159,-4564,-3332,13652,-6037,-15970,-24172
1775769945.2268028,-4608,6740,17520,28243,14404,-14056,-8128,-5216,17756,-6269,-21909,-25336
1775769945.227966,-7592,8000,22724,29835,32767,-17009,-9312,-4496,25492,-7054,-32768,-22076
1775769945.256893,-8864,11808,26148,30056,32767,-20975,-10604,-5816,32767,-5765,-32768,-19910
1775769945.257925,-10996,15368,28776,29017,32767,-24133,-13248,-7936,32767,-983,-32768,-25040
1775769945.286741,-8940,12932,32392,23491,26329,-31540,-22036,-4576,32767,9331,-32768,-27902
1775769945.316703,-6824,10640,32767,13245,15653,-32768,-32768,-2196,32767,20173,-24730,-25039
1775769945.346896,-2732,9628,32767,-2660,13003,-32768,-32768,-2024,32767,30261,-19478,-12896
1775769945.348005,2108,10120,32767,-17676,2371,-32383,-32768,-5988,28924,32767,-5047,-1550
1775769945.376949,5424,10252,31932,-28911,-7615,-26543,-32768,-10156,18632,32767,7612,7974
1775769945.407003,7388,10280,26972,-32768,-9925,-20107,-32768,-13096,11880,32767,12512,16971
1775769945.436861,8828,8944,21724,-32768,-8228,-13682,-29656,-14352,5848,32767,13060,24899
1775769945.437942,8740,7504,16388,-32768,-8483,-6323,-23716,-15252,-1096,31988,15630,30548
1775769945.467127,9096,4076,9860,-32768,-12474,3311,-12672,-14008,-12688,23402,21423,32767
1775769945.4980018,6728,-416,3248,-32768,-14070,14603,-820,-10088,-21260,9351,23719,31933
1775769945.526885,1696,-2504,-2420,-20577,-10432,24742,11320,-7060,-21540,-6514,19800,28037
1775769945.5279639,-1732,-4588,-5200,-6505,-6749,29983,20472,-3204,-13944,-19261,14841,20562
1775769945.5868921,-5512,-3792,-4772,6286,-4689,29525,23188,-1796,-5072,-26539,10645,10431
1775769945.588392,-9888,-648,-2104,17128,-11763,28866,19820,-3796,1508,-31593,15382,-561
1775769945.616786,-12900,-300,2160,25093,-10693,26660,13664,-2464,10840,-32768,11957,-7747
1775769945.646637,-13200,1556,5548,27529,1849,21957,9080,-2404,18316,-32768,-1484,-8619
1775769945.6485891,-14316,1164,11512,28410,4695,17898,4000,276,24224,-31021,-5043,-10841
1775769945.676654,-14600,3140,15380,26293,-3572,13785,-1908,1096,29328,-25602,2302,-13606
1775769945.706903,-14444,4204,17128,22166,-6737,8780,-4328,2024,31444,-18804,5007,-13789
1775769945.736913,-13624,5004,21044,19552,-257,2568,-5472,2316,31044,-12967,-2311,-13355
1775769945.738436,-12792,6076,23896,16555,3421,-2581,-11668,2476,32767,-7468,-6327,-12707
1775769945.766928,-11056,6832,25184,10900,-2225,-6021,-16076,2280,32636,-716,-316,-11571
1775769945.79649,-9408,5236,24776,5361,-6163,-7229,-18316,2736,26828,3745,4093,-8817
1775769945.829407,-7820,5000,23068,868,-4941,-6749,-16872,1900,22064,5888,3728,-4548
1775769945.829443,-6124,4652,20864,-1695,-4760,-6350,-13152,1224,18852,7086,4167,-2295
1775769945.8604858,-4888,3828,18964,-2340,-4149,-6169,-11344,980,14788,7207,3714,-1490
