timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775771088.620118,6120,-524,15872,1901,1076,-339,-13296,2924,3760,-457,-789,-361
1775771088.622833,6140,-408,16296,2491,552,-751,-14036,2844,3780,-389,-479,-1200
1775771088.653872,6188,-824,16540,2617,537,-903,-14876,3308,3796,-362,-550,-1366
1775771088.7403798,6620,-968,16632,2488,284,-1084,-15192,3508,3972,-110,-306,-1461
1775771088.7420878,6916,-460,17072,2309,-838,-1372,-15812,3012,3468,325,796,-1740
1775771088.742099,7072,-936,17156,2305,-1123,-992,-16416,3108,2572,52,1086,-1593
1775771088.7441359,7076,-1248,17380,2271,-167,-512,-16468,3468,2836,-396,244,-1074
1775771088.7722502,7308,-948,17320,2142,-180,-432,-16308,3496,3260,-415,350,-962
1775771088.800763,6972,-592,17368,2254,-690,-230,-15804,2956,2876,-572,842,-1083
1775771088.8301282,6508,-548,17428,2766,-208,68,-15336,2916,3224,-1187,376,-1222
1775771088.831882,6256,-544,17444,3283,402,-83,-14976,3128,4204,-1392,-331,-1515
1775771088.860184,5708,-972,17644,3760,405,-385,-14432,3784,4516,-1411,-482,-2092
1775771088.890486,5456,-1292,18112,4919,3292,-1005,-13844,4064,4300,-1885,-3707,-2561
1775771088.920407,5836,-1596,18832,6292,6403,-1861,-14796,4512,5216,-2317,-7077,-3278
1775771088.922199,6724,-3028,19040,6464,3803,-2297,-17136,6052,5088,-1779,-4588,-4349
1775771088.95212,7404,-6252,19068,5222,97,-1332,-20324,8652,2108,-1465,-571,-3828
1775771088.979993,8228,-9664,18904,3473,-560,1247,-21132,11688,-1248,-2514,833,-1131
1775771089.0101252,8128,-14464,19044,2379,1028,4266,-20312,15808,-3324,-4487,146,1805
1775771089.012104,7584,-20144,18840,1824,1166,7278,-18356,21220,-3980,-6645,861,3895
1775771089.040503,6676,-24620,17436,1376,3324,8875,-14812,25764,-3304,-7839,-913,5691
1775771089.070461,6620,-32140,17212,1368,4738,8466,-11244,32767,-3996,-7596,-2181,5749
1775771089.1003551,7864,-32768,16920,2086,1890,5718,-8956,32767,-2184,-5470,-300,2902
1775771089.102164,6688,-29140,16120,1584,-858,1383,-10744,31144,828,-1396,1631,206
1775771089.130836,3224,-19744,15704,-505,-7008,-8,-13836,21916,3924,1564,7624,-429
1775771089.160563,988,-4232,10036,-5376,-12872,429,-12224,5864,8908,4661,14226,2222
1775771089.1902568,-4020,21576,1728,-10576,3740,-1577,-2508,-20256,12404,7602,-2508,10055
1775771089.220118,-1488,32767,7696,-6598,32767,-8479,4212,-32768,10272,6217,-32768,15154
1775771089.2220979,1608,32767,17960,5295,32767,-8935,-1872,-32768,7916,-661,-32768,4536
1775771089.25045,192,32767,24716,19091,11792,-2698,-7556,-32768,14028,-9936,-13503,-13233
1775771089.280318,196,29992,22688,23712,-1457,-3709,-16788,-24268,28860,-10211,-3388,-20752
1775771089.3404522,1236,22872,25984,17041,8186,-11245,-28788,-14496,32767,-1030,-13265,-16344
1775771089.342313,1084,17148,27280,5670,4671,-13040,-32768,-8976,27876,7455,-7518,-9026
1775771089.342365,632,12776,23368,-4649,-4758,-8245,-31516,-7760,15200,10427,4554,-594
1775771089.400154,-660,10196,18296,-9240,-5655,-1571,-19248,-7132,7452,7652,7488,6335
1775771089.402138,-1212,7728,15428,-8519,928,2265,-10280,-5132,7036,3441,1640,9501
1775771089.402197,-228,4652,15240,-5726,4819,1639,-5396,-1356,9548,1975,-2595,7799
1775771089.430092,-284,3216,14768,-3200,1332,-581,-5960,320,10008,2689,0,3587
1775771089.460259,-468,1600,14472,-1513,-3117,-1438,-7140,1568,8140,2826,3653,611
1775771089.490293,-436,408,14780,213,-3634,-1339,-8164,2436,6272,1791,3787,-854
1775771089.492071,-344,760,16032,2226,-2499,-580,-9340,2328,6900,-117,2395,-1732
1775771089.520402,488,1104,16916,3574,-19,-568,-11076,2516,8468,-1135,-136,-2153
1775771089.5521998,948,1232,17360,3970,-1331,-523,-12744,2516,9224,-1249,1158,-2806
1775771089.58031,840,992,17832,3580,-2790,-412,-13796,2860,9820,-986,2584,-2783
1775771089.6101189,984,1576,18280,2767,-4355,-326,-14076,2564,10396,-397,4240,-2531
1775771089.612065,260,2068,18520,2269,-3797,-479,-13908,2076,10628,-94,3704,-2054
1775771089.640641,876,2892,18916,2098,-986,-908,-13628,1372,10820,123,979,-1393
1775771089.67053,1256,3188,19384,2057,-2110,-1309,-14432,1176,11100,587,2046,-1929
1775771089.70034,1668,3660,20152,1673,-3424,-1776,-15944,780,11324,1318,3253,-2149
1775771089.702125,1864,4064,20292,623,-3831,-1830,-17496,392,11404,2005,3798,-1442
