timestamp,ax_a,ay_a,az_a,gx_a,gy_a,gz_a,ax_b,ay_b,az_b,gx_b,gy_b,gz_b
1775769625.392307,-8324,-100,16288,4231,9367,6315,-6260,4564,14896,-8060,-7663,3743
1775769625.3942242,-8656,384,15464,3843,8149,6649,-5832,4352,16328,-7896,-6300,3855
1775769625.4227781,-9416,248,15100,3333,6499,6583,-4700,4504,16476,-7397,-4693,3795
1775769625.452508,-10212,-16,14232,2650,7652,5920,-3468,5040,17960,-6534,-5837,4287
1775769625.482351,-9832,-20,13772,1781,6170,3987,-1624,5268,18916,-4312,-4614,3482
1775769625.4841118,-9796,-652,13648,911,6266,1586,-3536,5720,17668,-1907,-5214,2952
1775769625.514216,-9916,-308,13308,-579,7558,880,-3904,5236,16660,-605,-6251,4153
1775769625.54261,-9808,-528,13072,-1262,7184,25,-2544,5316,16304,520,-5954,4076
1775769625.5726268,-9732,-528,12464,-1448,5331,-605,-1448,4984,15324,1334,-4302,3376
1775769625.6022122,-9436,-792,12888,-1160,5449,-1053,-2940,5044,14032,1467,-4677,2921
1775769625.6041238,-9624,-716,13056,-1867,5721,-477,-4484,5140,14844,1412,-4553,3901
1775769625.6323981,-9532,-684,12892,-2253,3382,-24,-2316,4952,14364,1509,-2122,3814
1775769625.66292,-10228,-308,13080,-1266,2701,350,-1692,4536,13436,661,-1618,2976
1775769625.722576,-11448,-104,13328,142,-58,1298,60,4712,14856,-655,1028,1620
1775769625.724171,-12348,-228,13820,2235,-5470,874,2628,5544,18144,-923,5762,-1863
1775769625.7525141,-13016,-952,15220,3603,-6880,-1872,-600,7036,21500,551,6104,-4794
1775769625.754178,-12404,-1312,16328,2357,-1092,-4284,-5320,7460,20932,2655,108,-3426
1775769625.7842171,-10864,-1536,16068,-230,4686,-5485,-7316,7476,20212,4580,-5138,-339
1775769625.784299,-8732,-1824,13704,-3222,2198,-6436,-5648,6940,18364,7381,-2112,765
1775769625.814267,-7196,-2648,10088,-5946,-4670,-7001,-3840,6136,13488,10076,4813,747
1775769625.872643,-5016,-2800,5504,-7700,-7212,-6702,-584,3848,6152,11034,7468,1640
1775769625.8744478,-152,-1412,-1356,-5590,-1773,-5190,7196,-1456,-8944,7693,1984,2251
1775769625.874479,5316,-60,-10108,5588,1328,866,15644,-8728,-32768,-4382,-1242,-2487
1775769625.902636,4520,4900,-13104,26419,-1819,15762,25952,-19952,-32768,-28252,1490,-12390
1775769625.932579,1616,10968,-5760,32767,-11653,26252,16048,-27732,-17264,-32768,9346,-26628
1775769625.9932008,-4184,16408,7968,32767,-14153,28048,-7236,-28804,12364,-32768,10250,-32349
1775769625.995593,-10756,16364,21628,32767,-3144,26305,-20640,-19204,32767,-32768,283,-25397
1775769625.995662,-15788,17760,29540,32767,-3330,19989,-24184,-10780,32767,-32768,1486,-19794
1775769626.025374,-19896,17136,32767,24654,-7965,10906,-22452,-4360,32767,-21643,6357,-14901
1775769626.056553,-23356,20816,32767,13849,-5699,4098,-18500,-6356,32767,-10047,4455,-9225
1775769626.086424,-27548,22592,29100,6712,-3139,-3592,-6132,-7776,32767,-58,1474,-7114
1775769626.086467,-29852,20364,31044,1195,3128,-14276,-6704,-4536,32767,11163,-5887,-6856
1775769626.115078,-29180,18752,32680,-9364,430,-24514,-15264,-4040,32767,25987,-3395,-4640
1775769626.1452448,-24532,18140,27384,-21287,-1905,-32768,-10104,-10468,32767,32767,-1227,-715
1775769626.203406,-17820,16212,19276,-27354,-230,-32768,-6304,-16164,32767,32767,-3171,1338
1775769626.205566,-8504,14616,14452,-29904,3000,-32768,-8564,-20048,23360,32767,-6428,2720
1775769626.205674,1016,13936,11636,-31213,5225,-32768,-15532,-22576,8964,32767,-8050,5029
1775769626.262604,10144,10652,6280,-31532,610,-32768,-18444,-22480,-11528,32767,-1281,8231
1775769626.2646148,15380,6072,-316,-26564,-1931,-19933,-10880,-18996,-32768,31741,3190,11261
1775769626.264624,16144,1388,-5428,-14678,-7350,-1439,-1124,-13196,-32768,10629,10110,10053
1775769626.322376,12268,1628,-10092,1058,-12270,14803,9816,-12620,-32768,-11140,15486,4779
1775769626.324301,5936,2272,-14580,18654,-12511,22909,26428,-13712,-29140,-27861,14274,-5164
1775769626.382702,340,7500,-14728,32767,-5233,23283,31552,-22008,-20460,-32768,4153,-18109
1775769626.384421,-3596,16928,-10916,32767,-14427,23855,28760,-32768,-6944,-32768,10189,-32768
1775769626.384515,-9868,20340,924,32767,-11289,21219,11824,-32768,8280,-32768,3333,-32768
1775769626.412342,-16080,16752,20656,32767,15480,18983,-13188,-27012,32767,-32768,-23129,-32768
1775769626.442775,-20792,14780,32767,32767,6799,10671,-32140,-5364,32767,-32768,-11759,-30669
1775769626.472579,-24312,13480,32767,25155,-458,-557,-32768,2860,32767,-13255,-3559,-19312
1775769626.4742,-24008,19536,32264,7803,-3785,-8235,-21072,-3968,32767,3322,946,-10503
1775769626.50249,-24464,20744,29116,-3388,-6983,-14197,-13040,-7444,32767,14823,4848,-5774
1775769626.53264,-24420,19752,27704,-13830,-6859,-20958,-13616,-7464,32767,26398,5189,-1081
1775769626.562618,-22516,18272,26068,-25622,-10081,-28836,-12088,-10436,32767,32767,8539,3242
1775769626.564416,-15724,19516,17568,-32768,-11936,-32768,-3148,-21332,32767,32767,10248,5567
1775769626.592732,-9368,16716,12364,-32768,-11316,-32768,-3004,-24376,23780,32767,9272,6242
1775769626.6227221,-3424,13324,12376,-32768,-6826,-32768,-9292,-22816,8516,32767,5698,8106
1775769626.652865,2268,8764,12052,-32768,-8407,-30043,-14424,-17504,-924,32767,8618,10819
1775769626.682434,4532,6368,9352,-32768,-13329,-20119,-11672,-14352,-7492,32767,15015,13603
1775769626.6840901,4500,2032,6316,-28730,-16695,-10363,-2448,-8932,-12400,27101,20152,13888
1775769626.712279,2164,-1780,3284,-19240,-14096,-3700,6728,-2820,-14064,15938,16726,10579
1775769626.742574,628,-5564,4124,-7998,-9643,437,7748,3124,-11580,5596,11341,4939
1775769626.772497,-576,-6636,6368,-206,-4789,2878,1748,6248,-4816,-1369,5855,1398
1775769626.774318,-1456,-7356,9896,4123,-3935,5038,-2692,8104,-352,-5638,4828,-676
1775769626.802853,-3020,-7256,12368,6174,-5063,7277,-6460,9080,4032,-8506,6037,-1364
1775769626.832584,-5320,-7044,14108,6442,-2310,8630,-6996,10004,9516,-9919,3476,-17
1775769626.862894,-6624,-5968,14876,5790,3120,7366,-4816,10272,14404,-9081,-1884,1284
1775769626.864379,-7456,-5464,15264,5759,1680,5151,-3180,10072,15076,-7152,-771,-341
1775769626.892887,-7696,-5200,15716,6163,-211,3846,-4608,9696,14244,-6208,662,-1885
1775769626.9225512,-7496,-5448,16964,6268,732,3353,-7344,10128,13884,-5996,-468,-1958
